Fecha,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,3,2,3,2,37,15,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,4,1,8,5,46,9,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,5,1,11,3,60,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,5,0,21,10,69,9,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,5,0,39,18,75,6,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,5,0,26,-13,112,37,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,5,0,35,9,143,31,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,6,1,36,1,163,20,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,7,1,30,-6,186,23,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,7,0,24,-6,201,15,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,7,0,12,-12,218,17,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,7,0,37,25,234,16,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,11,4,49,12,264,30,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,16,5,82,33,298,34,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,26,10,105,23,344,46,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,41,15,155,50,404,60,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,53,12,176,21,482,78,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,82,29,171,-5,579,97,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,93,11,206,35,672,93,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,118,25,314,108,787,115,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,164,46,448,134,921,134,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-20,203,39,606,158,1111,190,2,1,0,0,0,0,0,0,0,0,0,0
2020-03-21,251,48,697,91,1463,352,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,316,65,793,96,1667,204,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,367,51,825,32,1865,198,4,2,0,0,0,0,0,0,0,0,0,0
2020-03-24,405,38,1219,394,2161,296,5,1,0,0,0,0,0,0,0,0,0,0
2020-03-25,475,70,1656,437,2445,284,6,1,0,0,0,0,0,0,0,0,0,0
2020-03-26,585,110,2156,500,2965,520,8,2,0,0,0,0,0,0,0,0,0,0
2020-03-27,717,132,2475,319,3542,577,12,4,0,0,0,0,0,0,0,0,0,0
2020-03-28,848,131,2623,148,4341,799,16,4,0,0,0,0,0,0,0,0,0,0
2020-03-29,993,145,2564,-59,4955,614,20,4,0,0,0,0,0,0,0,0,0,0
2020-03-30,1094,101,2752,188,5635,680,28,8,0,0,0,0,0,0,0,0,0,0
2020-03-31,1215,121,3511,759,6282,647,29,1,0,0,0,0,0,0,0,0,0,0
2020-04-01,1378,163,3827,316,7073,791,37,8,0,0,0,0,0,0,0,0,0,0
2020-04-02,1510,132,4653,826,7822,749,50,13,0,0,0,0,0,0,0,0,0,0
2020-04-03,1688,178,5398,745,8602,780,60,10,0,0,0,0,0,0,0,0,0,0
2020-04-04,1890,202,5827,429,9467,865,79,19,0,0,0,0,0,0,0,0,0,0
2020-04-05,2143,253,5209,-618,10682,1215,94,15,0,0,0,0,0,0,0,0,0,0
2020-04-06,2439,296,6295,1086,11741,1059,125,31,0,0,0,0,0,0,0,0,0,0
2020-04-07,2785,346,7526,1231,15099,3358,141,16,0,0,0,0,0,0,0,0,0,0
2020-04-08,3181,396,9188,1662,17209,2110,174,33,0,0,0,0,0,0,0,0,0,0
2020-04-09,3441,260,10105,917,17950,741,194,20,0,0,0,0,0,0,0,0,0,0
2020-04-10,3844,403,10300,195,19749,1799,233,39,0,0,0,0,0,0,0,0,0,0
2020-04-11,4219,375,9983,-317,21277,1528,273,40,0,0,0,0,0,0,0,0,0,0
2020-04-12,4661,442,8697,-1286,23236,1959,296,23,71,71,249,249,1803,5972,8036,255,2971,1634
2020-04-13,5014,353,9341,644,24315,1079,332,36,84,13,288,39,1865,6271,7843,229,3240,1427
2020-04-14,5399,385,10792,1451,25402,1087,406,74,90,6,359,71,1964,7657,7623,262,4208,1220
2020-04-15,5847,448,11717,925,26872,1470,449,43,92,2,396,37,2058,8305,7579,309,4688,1380
2020-04-16,6297,450,12340,623,28598,1726,486,37,101,9,425,29,2184,8956,7935,412,5086,1561
2020-04-17,6875,578,13364,1024,28126,-472,546,60,153,52,434,9,2387,10173,8138,465,5578,1866
2020-04-18,7497,622,12369,-995,29301,1175,650,104,123,-30,478,44,2592,9382,8224,499,4790,1964
2020-04-19,8261,764,10139,-2230,31170,1869,686,36,112,-11,490,12,2955,7291,8970,542,3145,2312
2020-04-20,8772,511,9653,-486,32490,1320,712,26,128,16,506,16,2965,6835,8904,442,2677,1993
2020-04-21,9501,729,8262,-1391,33871,1381,857,145,112,-16,534,28,3185,6978,8899,404,3128,1784
2020-04-22,10544,1043,7706,-556,37444,3573,970,113,91,-21,650,116,3618,6645,9360,502,3239,1693
2020-04-23,11633,1089,7588,-118,39664,2220,1069,99,81,-10,692,42,4127,6537,10163,653,3403,2099
2020-04-24,12872,1239,7889,301,41573,1909,1221,152,77,-4,756,64,4502,6783,10445,809,4009,2289
2020-04-25,13842,970,8239,350,43419,1846,1305,84,72,-5,799,43,4798,7281,10812,784,4420,2352
2020-04-26,14677,835,7612,-627,45346,1927,1351,46,86,14,824,25,4972,6746,11260,766,3993,2421
2020-04-27,15529,852,8614,1002,46960,1614,1434,83,137,51,881,57,5009,7690,11106,662,4209,2048
2020-04-28,16752,1223,11220,2606,49033,2073,1569,135,164,27,937,56,5329,10287,11542,636,6016,2066
2020-04-29,17799,1047,13263,2043,50850,1817,1732,163,152,-12,984,47,5444,12279,11576,667,7360,2171
2020-04-30,19224,1425,15520,2257,52628,1778,1859,127,191,39,1027,43,5912,14360,11893,878,8724,2243
2020-05-01,20739,1515,15446,-74,55003,2375,1972,113,164,-27,1056,29,6390,14402,12663,945,8622,2668
2020-05-02,22088,1349,14536,-910,57167,2164,2061,89,170,6,1068,12,6580,13416,13342,1001,7365,3030
2020-05-03,23471,1383,12664,-1872,59704,2537,2154,93,191,21,1090,22,6933,11576,14167,965,6206,3076
2020-05-04,24905,1434,13143,479,61993,2289,2270,116,190,-1,1120,30,6696,11728,13971,851,6472,2693
