Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,AGU,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,AGU,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,AGU,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,AGU,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,AGU,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,AGU,1,0,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,AGU,1,0,8,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,AGU,1,0,10,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,AGU,4,3,9,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
