"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-02-27","BCS",0,,,0,
"2020-02-28","BCS",0,,,0,
"2020-02-29","BCS",0,,,0,
"2020-03-01","BCS",0,,,0,
"2020-03-02","BCS",0,,,0,
"2020-03-03","BCS",0,,,0,
"2020-03-04","BCS",0,,,0,
"2020-03-05","BCS",0,,,0,
"2020-03-06","BCS",0,,,0,
"2020-03-07","BCS",0,,,0,
"2020-03-08","BCS",0,1,,0,
"2020-03-09","BCS",0,,,0,
"2020-03-10","BCS",0,,,0,
"2020-03-11","BCS",0,,,0,
"2020-03-12","BCS",0,,,0,
"2020-03-13","BCS",0,1,,0,
"2020-03-14","BCS",0,7,,0,
"2020-03-15","BCS",0,4,,0,
"2020-03-16","BCS",0,1,,0,
"2020-03-17","BCS",0,2,,0,
"2020-03-18","BCS",0,,,0,
"2020-03-19","BCS",0,6,,0,
"2020-03-20","BCS",0,3,,0,
"2020-03-21","BCS",1,8,,0,
"2020-03-22","BCS",1,13,,0,
"2020-03-23","BCS",2,5,,0,
"2020-03-24","BCS",2,20,,0,
"2020-03-25","BCS",5,15,,0,
"2020-03-26","BCS",7,20,,0,
"2020-03-27","BCS",9,19,,0,
"2020-03-28","BCS",9,31,,0,
"2020-03-29","BCS",11,30,,0,
"2020-03-30","BCS",13,24,,0,
"2020-03-31","BCS",17,35,,0,
"2020-04-01","BCS",18,45,,2,
"2020-04-02","BCS",19,62,,2,
"2020-04-03","BCS",21,78,,2,
"2020-04-04","BCS",27,81,169,2,
"2020-04-05","BCS",28,92,180,2,
"2020-04-06","BCS",54,141,202,2,
"2020-04-07","BCS",56,149,236,2,
"2020-04-08","BCS",68,270,269,2,
"2020-04-09","BCS",68,313,269,2,
