Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,CHH,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,CHH,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,CHH,0,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,CHH,1,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,CHH,1,0,1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,CHH,1,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,CHH,2,1,6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,CHH,2,0,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,CHH,5,3,4,-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,CHH,5,0,7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,CHH,6,1,6,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,CHH,6,0,8,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,CHH,6,0,5,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,CHH,6,0,14,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,CHH,6,0,16,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,CHH,6,0,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,CHH,6,0,21,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,CHH,7,1,16,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,CHH,11,4,22,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,CHH,11,0,24,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,CHH,12,1,39,15,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,CHH,13,1,42,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,CHH,15,2,29,-13,85,19,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,CHH,22,7,52,23,101,16,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,CHH,22,0,68,16,120,19,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,CHH,29,7,76,8,164,44,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,CHH,42,13,94,18,184,20,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-10,CHH,54,12,101,7,187,3,12,11,0,0,0,0,0,0,0,0,0,0
2020-04-11,CHH,54,0,121,20,187,0,12,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,CHH,61,7,136,15,197,10,12,0,6,6,7,7,26,114,43,2,46,5
