"Fecha","Estado","Positivos","Positivos_Delta","Sospechosos","Sospechosos_Delta","Negativos","Negativos_Delta","Defunciones_Positivos","Defunciones_Positivos_Delta","Defunciones_Sospechosos","Defunciones_Sospechosos_Delta","Defunciones_Negativos","Defunciones_Negativos_Delta","Positivos_Sintomas_14_Dias","Sospechosos_Sintomas_14_Dias","Negativos_Sintomas_14_Dias","Positivos_Sintomas_7_Dias","Sospechosos_Sintomas_7_Dias","Negativos_Sintomas_7_Dias"
"2020-02-27","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-28","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-29","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-02","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-03","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-04","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-05","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-06","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-07","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-08","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-09","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-11","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-12","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-13","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-14","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-15","COL",0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-16","COL",0,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-17","COL",0,0,2,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-18","COL",1,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-19","COL",1,0,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-20","COL",1,0,6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-21","COL",2,1,3,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-22","COL",2,0,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-23","COL",2,0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-24","COL",2,0,9,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-25","COL",2,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
