Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,DUR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,DUR,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,DUR,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,DUR,1,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,DUR,1,0,7,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,DUR,3,2,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,DUR,3,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,DUR,3,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,DUR,3,0,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,DUR,4,1,8,4,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-21,DUR,5,1,1,-7,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,DUR,5,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,DUR,5,0,5,4,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,DUR,5,0,6,1,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,DUR,5,0,15,9,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,DUR,5,0,24,9,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,DUR,7,2,17,-7,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,DUR,7,0,35,18,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,DUR,7,0,32,-3,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,DUR,7,0,23,-9,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,DUR,7,0,18,-5,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,DUR,7,0,24,6,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,DUR,8,1,28,4,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,DUR,8,0,26,-2,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,DUR,10,2,51,25,90,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-04-05,DUR,12,2,48,-3,99,9,3,1,0,0,0,0,0,0,0,0,0,0
2020-04-06,DUR,12,0,78,30,141,42,4,1,0,0,0,0,0,0,0,0,0,0
2020-04-07,DUR,15,3,84,6,156,15,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,DUR,15,0,113,29,218,62,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,DUR,16,1,116,3,220,2,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,DUR,16,0,113,-3,225,5,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,DUR,16,0,83,-30,256,31,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,DUR,16,0,61,-22,279,23,4,0,0,0,1,1,2,36,106,0,8,10
2020-04-13,DUR,16,0,74,13,278,-1,4,0,0,0,1,0,1,47,86,0,13,6
2020-04-14,DUR,15,-1,89,15,279,1,3,-1,0,0,2,1,1,57,74,0,20,2
2020-04-15,DUR,16,1,97,8,284,5,4,1,0,0,1,-1,1,58,65,0,24,1
2020-04-16,DUR,17,1,89,-8,311,27,4,0,0,0,4,3,1,52,63,0,37,1
2020-04-17,DUR,19,2,99,10,285,-26,4,0,0,0,4,0,2,64,53,1,37,6
2020-04-18,DUR,19,0,98,-1,291,6,4,0,0,0,4,0,2,64,42,1,35,9
2020-04-19,DUR,21,2,93,-5,298,7,4,0,0,0,4,0,4,57,40,1,28,10
2020-04-20,DUR,22,1,65,-28,337,39,4,0,0,0,4,0,5,33,66,1,12,21
2020-04-21,DUR,30,8,20,-45,361,24,4,0,0,0,4,0,14,11,77,0,7,16
2020-04-22,DUR,33,3,29,9,420,59,5,1,0,0,4,0,16,20,71,2,11,13
2020-04-23,DUR,39,6,20,-9,445,25,5,0,0,0,4,0,21,12,86,3,8,17
2020-04-24,DUR,41,2,30,10,459,14,5,0,0,0,4,0,19,22,88,4,16,22
2020-04-25,DUR,43,2,23,-7,500,41,6,1,1,1,5,1,17,21,123,4,15,36
2020-04-26,DUR,45,2,13,-10,521,21,6,0,0,-1,6,1,18,12,134,5,10,39
2020-04-27,DUR,46,1,27,14,533,12,6,0,0,0,6,0,16,26,131,2,20,30
2020-04-28,DUR,57,11,40,13,541,8,6,0,0,0,6,0,21,39,121,10,30,23
2020-04-29,DUR,59,2,76,36,573,32,6,0,0,0,6,0,23,74,138,10,58,42
2020-04-30,DUR,67,8,61,-15,606,33,7,1,1,1,6,0,29,61,152,10,44,19
2020-05-01,DUR,69,2,44,-17,639,33,7,0,1,0,6,0,31,44,170,7,34,33
2020-05-02,DUR,71,2,65,21,654,15,7,0,1,0,6,0,31,64,173,5,47,40
2020-05-03,DUR,74,3,116,51,656,2,7,0,1,0,6,0,33,115,158,2,92,26
2020-05-04,DUR,79,5,115,-1,681,25,7,0,1,0,6,0,33,114,158,3,76,30
2020-05-05,DUR,79,0,136,21,688,7,8,1,0,-1,6,0,30,135,146,1,89,24
2020-05-06,DUR,90,11,97,-39,791,103,8,0,0,0,6,0,34,95,227,4,70,68
2020-05-07,DUR,95,5,91,-6,832,41,11,3,0,0,6,0,35,90,214,5,68,75
2020-05-08,DUR,105,10,87,-4,892,60,11,0,0,0,6,0,38,86,260,8,77,78
2020-05-09,DUR,107,2,88,1,928,36,11,0,0,0,6,0,36,88,283,6,77,61
2020-05-10,DUR,113,6,68,-20,955,27,12,1,0,0,6,0,33,66,277,10,53,59
2020-05-11,DUR,114,1,81,13,966,11,12,0,0,0,6,0,31,77,241,7,57,52
2020-05-12,DUR,122,8,66,-15,1000,34,13,1,0,0,6,0,33,64,257,8,41,53
2020-05-13,DUR,127,5,96,30,1017,17,14,1,0,0,10,4,37,92,252,8,67,50
2020-05-14,DUR,144,17,84,-12,1062,45,14,0,0,0,11,1,52,76,267,9,58,65
2020-05-15,DUR,150,6,112,28,1094,32,15,1,0,0,11,0,49,104,270,7,88,68
2020-05-16,DUR,155,5,125,13,1113,19,16,1,0,0,11,0,49,116,237,3,94,72
2020-05-17,DUR,157,2,113,-12,1139,26,16,0,1,1,11,0,46,103,233,3,55,64
2020-05-18,DUR,169,12,59,-54,1220,81,17,1,0,-1,11,0,52,48,283,9,31,60
2020-05-19,DUR,176,7,84,25,1237,17,18,1,1,1,15,4,51,71,262,6,51,44
2020-05-21,DUR,190,14,154,70,1294,57,23,5,2,1,18,3,44,134,272,4,112,49
2020-05-22,DUR,208,18,151,-3,1338,44,26,3,2,0,18,0,52,131,280,11,108,57
2020-05-23,DUR,214,6,161,10,1366,28,26,0,2,0,18,0,50,143,286,13,106,65
2020-05-24,DUR,230,16,124,-37,1403,37,26,0,1,-1,19,1,63,106,264,22,71,77
2020-05-25,DUR,241,11,127,3,1437,34,26,0,1,0,19,0,67,106,256,19,62,76
2020-05-26,DUR,243,2,186,59,1454,17,27,1,1,0,19,0,62,162,234,13,99,58
2020-05-27,DUR,272,29,220,34,1479,25,32,5,1,0,20,1,82,194,242,26,119,52
2020-05-28,DUR,297,25,216,-4,1554,75,33,1,2,1,21,1,100,188,287,35,126,91
2020-05-29,DUR,313,16,278,62,1590,36,34,1,2,0,22,1,105,246,284,31,189,99
