Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,GUA,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,GUA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,GUA,0,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,GUA,0,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,GUA,0,0,13,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,GUA,0,0,10,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,GUA,1,1,12,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,GUA,4,3,6,-6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,GUA,4,0,15,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,GUA,4,0,31,16,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,GUA,4,0,34,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,GUA,4,0,88,54,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,GUA,7,3,75,-13,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,GUA,12,5,84,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,GUA,19,7,93,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,GUA,23,4,107,14,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,GUA,31,8,126,19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,GUA,37,6,132,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,GUA,37,0,127,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,GUA,43,6,79,-48,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,GUA,46,3,130,51,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,GUA,49,3,173,43,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,GUA,50,1,200,27,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,GUA,52,2,237,37,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,GUA,53,1,214,-23,852,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,GUA,53,0,162,-52,924,72,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,GUA,58,5,164,2,1025,101,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,GUA,61,3,242,78,1051,26,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-08,GUA,67,6,286,44,1136,85,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,GUA,71,4,290,4,1213,77,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,GUA,78,7,254,-36,1308,95,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,GUA,81,3,233,-21,1379,71,5,4,0,0,0,0,0,0,0,0,0,0
2020-04-12,GUA,82,1,174,-59,1455,76,5,0,1,1,17,17,24,120,516,2,75,126
2020-04-13,GUA,88,6,158,-16,1504,49,5,0,0,-1,18,1,29,102,470,5,68,111
2020-04-14,GUA,90,2,172,14,1559,55,5,0,1,1,20,2,30,117,452,4,89,94
2020-04-15,GUA,91,1,186,14,1630,71,5,0,1,0,20,0,25,128,476,3,99,123
2020-04-16,GUA,96,5,277,91,1656,26,6,1,1,0,22,2,23,215,446,4,174,110
2020-04-17,GUA,113,17,224,-53,1725,69,7,1,5,4,25,3,35,203,539,14,169,172
2020-04-18,GUA,116,3,343,119,1753,28,9,2,5,0,25,0,35,321,525,12,283,157
2020-04-19,GUA,133,17,190,-153,1922,169,9,0,2,-3,28,3,47,167,638,25,130,242
2020-04-20,GUA,150,17,180,-10,1990,68,9,0,2,0,28,0,62,162,641,33,127,200
2020-04-21,GUA,158,8,228,48,2090,100,9,0,3,1,28,0,69,222,674,22,175,200
2020-04-22,GUA,173,15,339,111,2217,127,9,0,5,2,37,9,80,337,715,19,299,164
2020-04-23,GUA,182,9,340,1,2409,192,14,5,3,-2,39,2,84,336,861,13,302,246
2020-04-24,GUA,192,10,503,163,2484,75,17,3,3,0,45,6,88,497,865,15,452,237
2020-04-25,GUA,198,6,573,70,2589,105,19,2,2,-1,47,2,89,568,919,8,503,251
2020-04-26,GUA,206,8,467,-106,2760,171,20,1,1,-1,48,1,90,463,1006,7,377,265
2020-04-27,GUA,215,9,466,-1,2873,113,21,1,3,2,48,0,89,458,1007,8,312,189
2020-04-28,GUA,219,4,538,72,3057,184,21,0,3,0,49,1,70,531,1078,4,398,155
2020-04-29,GUA,238,19,679,141,3272,215,22,1,0,-3,54,5,74,671,1174,6,572,150
2020-04-30,GUA,262,24,812,133,3488,216,24,2,1,1,54,0,85,804,1279,18,709,208
2020-05-01,GUA,283,21,859,47,3800,312,26,2,1,0,54,0,99,857,1479,17,757,369
2020-05-02,GUA,290,7,716,-143,4071,271,27,1,1,0,54,0,91,712,1644,16,575,435
2020-05-03,GUA,308,18,550,-166,4276,205,31,4,2,1,54,0,96,544,1668,10,385,317
2020-05-04,GUA,314,6,542,-8,4409,133,33,2,3,1,56,2,88,534,1552,4,363,121
2020-05-05,GUA,328,14,617,75,4606,197,38,5,1,-2,58,2,91,604,1579,6,458,97
2020-05-06,GUA,342,14,697,80,4789,183,40,2,1,0,58,0,92,683,1562,8,592,103
2020-05-07,GUA,390,48,630,-67,5045,256,42,2,2,1,58,0,131,620,1684,38,533,227
2020-05-08,GUA,415,25,604,-26,5354,309,46,4,1,-1,59,1,132,596,1838,33,503,331
2020-05-09,GUA,445,30,724,120,5529,175,46,0,0,-1,60,1,146,717,1774,23,624,309
2020-05-10,GUA,473,28,534,-190,5763,234,46,0,1,1,60,0,154,529,1667,26,416,329
2020-05-11,GUA,504,31,510,-24,5903,140,46,0,2,1,60,0,168,505,1470,29,403,270
2020-05-12,GUA,547,43,565,55,6153,250,55,9,2,0,60,0,201,560,1527,39,459,241
2020-05-13,GUA,586,39,598,33,6410,257,57,2,1,-1,61,1,232,597,1657,49,518,279
2020-05-14,GUA,625,39,640,42,6670,260,61,4,4,3,62,1,251,639,1783,48,565,397
2020-05-15,GUA,665,40,812,172,6846,176,63,2,4,0,62,0,259,806,1755,51,710,392
2020-05-16,GUA,692,27,849,37,7078,232,69,6,5,1,64,2,248,842,1783,40,705,385
2020-05-17,GUA,739,47,665,-184,7311,233,69,0,6,1,64,0,267,655,1792,54,480,363
2020-05-18,GUA,765,26,672,7,7413,102,73,4,6,0,65,1,261,660,1704,43,420,237
2020-05-19,GUA,804,39,762,90,7700,287,78,5,6,0,68,3,268,743,1710,27,600,183
2020-05-21,GUA,906,102,825,63,8268,568,84,6,5,-1,73,5,300,793,1957,65,647,392
2020-05-22,GUA,956,50,899,74,8478,210,85,1,5,0,76,3,310,865,1962,61,705,299
2020-05-23,GUA,1035,79,701,-198,8872,394,85,0,4,-1,77,1,349,669,2074,86,509,454
2020-05-24,GUA,1064,29,592,-109,9081,209,88,3,4,0,79,2,351,555,1974,60,384,412
2020-05-25,GUA,1138,74,457,-135,9318,237,91,3,3,-1,79,0,379,415,1920,67,267,381
2020-05-26,GUA,1196,58,666,209,9441,123,96,5,3,0,85,6,387,617,1792,58,512,302
2020-05-27,GUA,1248,52,821,155,9630,189,101,5,3,0,88,3,407,759,1791,63,610,316
2020-05-28,GUA,1330,82,869,48,9886,256,101,0,4,1,89,1,459,793,1908,117,652,434
2020-05-29,GUA,1396,66,1022,153,10081,195,105,4,4,0,92,3,459,933,1809,121,781,427
2020-05-30,GUA,1479,83,1009,-13,10319,238,107,2,4,0,93,1,490,912,1821,100,760,362
2020-05-31,GUA,1650,171,719,-290,10558,239,107,0,4,0,93,0,597,610,1814,163,463,375
2020-06-01,GUA,1697,47,774,55,10688,130,112,5,6,2,93,0,580,653,1692,99,447,261
2020-06-02,GUA,1900,203,799,25,10860,172,116,4,7,1,94,1,720,672,1689,164,505,259
2020-06-03,GUA,2037,137,901,102,11037,177,122,6,9,2,94,0,797,751,1674,174,613,271
2020-06-04,GUA,2161,124,1070,169,11213,176,125,3,9,0,96,2,890,926,1705,208,733,307
2020-06-05,GUA,2309,148,1280,210,11443,230,134,9,8,-1,102,6,946,1139,1736,198,924,358
2020-06-06,GUA,2422,113,1397,117,11637,194,136,2,9,1,106,4,958,1248,1622,171,1000,346
2020-06-07,GUA,2532,110,1304,-93,11804,167,138,2,10,1,106,0,957,1148,1562,128,898,309
2020-06-08,GUA,2587,55,1424,120,11899,95,141,3,11,1,106,0,868,1245,1388,64,879,124
