"Fecha","Estado","Positivos","Positivos_Delta","Sospechosos","Sospechosos_Delta","Negativos","Negativos_Delta","Defunciones_Positivos","Defunciones_Positivos_Delta","Defunciones_Sospechosos","Defunciones_Sospechosos_Delta","Defunciones_Negativos","Defunciones_Negativos_Delta","Positivos_Sintomas_14_Dias","Sospechosos_Sintomas_14_Dias","Negativos_Sintomas_14_Dias","Positivos_Sintomas_7_Dias","Sospechosos_Sintomas_7_Dias","Negativos_Sintomas_7_Dias"
"2020-02-27","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-28","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-29","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-02","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-03","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-04","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-05","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-06","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-07","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-08","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-09","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-11","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-12","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-13","JAL",0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-14","JAL",2,2,17,8,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-15","JAL",2,0,9,-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-16","JAL",2,0,18,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-17","JAL",5,3,3,-15,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-18","JAL",6,1,15,12,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-19","JAL",22,16,13,-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-20","JAL",28,6,55,42,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-21","JAL",32,4,96,41,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-22","JAL",41,9,120,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
