Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,MEX,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,MEX,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,MEX,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,MEX,1,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,MEX,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,MEX,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,MEX,2,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,MEX,3,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,MEX,3,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,MEX,3,0,10,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,MEX,4,1,13,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,MEX,9,5,15,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,MEX,10,1,22,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,MEX,10,0,41,19,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,MEX,10,0,63,22,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,MEX,14,4,83,20,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,MEX,14,0,117,34,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,MEX,22,8,71,-46,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,MEX,22,0,83,12,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,MEX,22,0,154,71,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,MEX,26,4,228,74,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,MEX,46,20,289,61,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,MEX,70,24,266,-23,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,MEX,85,15,298,32,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,MEX,119,34,311,13,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,MEX,136,17,318,7,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-31,MEX,149,13,371,53,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,MEX,157,8,340,-31,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,MEX,171,14,406,66,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,MEX,177,6,430,24,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,MEX,180,3,488,58,642,0,3,2,0,0,0,0,0,0,0,0,0,0
2020-04-05,MEX,204,24,434,-54,745,103,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,MEX,261,57,572,138,789,44,8,5,0,0,0,0,0,0,0,0,0,0
2020-04-07,MEX,320,59,609,37,1136,347,9,1,0,0,0,0,0,0,0,0,0,0
2020-04-08,MEX,354,34,793,184,1395,259,11,2,0,0,0,0,0,0,0,0,0,0
2020-04-09,MEX,399,45,831,38,1475,80,11,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,MEX,470,71,758,-73,1661,186,16,5,0,0,0,0,0,0,0,0,0,0
2020-04-11,MEX,498,28,782,24,1689,28,19,3,0,0,0,0,0,0,0,0,0,0
2020-04-12,MEX,523,25,693,-89,1839,150,22,3,14,14,24,24,218,440,669,27,225,90
2020-04-13,MEX,558,35,770,77,1893,54,27,5,18,4,28,4,209,492,611,22,266,75
2020-04-14,MEX,602,44,904,134,1989,96,35,8,13,-5,38,10,226,613,617,21,399,83
2020-04-15,MEX,659,57,1044,140,2076,87,43,8,12,-1,44,6,235,742,569,30,502,69
2020-04-16,MEX,695,36,1107,63,2198,122,46,3,10,-2,48,4,245,830,554,40,531,94
2020-04-17,MEX,754,59,1318,211,1974,-224,49,3,18,8,41,-7,270,1024,450,52,628,89
2020-04-18,MEX,786,32,1289,-29,2020,46,52,3,20,2,42,1,256,1009,414,41,538,60
2020-04-19,MEX,877,91,1145,-144,2155,135,55,3,21,1,42,0,312,882,471,50,408,79
2020-04-20,MEX,901,24,1193,48,2198,43,58,3,25,4,42,0,277,915,433,28,351,52
2020-04-21,MEX,1013,112,947,-246,2323,125,71,13,27,2,44,2,340,841,493,28,376,52
2020-04-22,MEX,1157,144,943,-4,2538,215,82,11,28,1,59,15,399,834,517,28,387,51
2020-04-23,MEX,1245,88,969,26,2618,80,95,13,26,-2,64,5,425,856,533,19,406,63
2020-04-24,MEX,1445,200,955,-14,2765,147,104,9,26,0,68,4,530,828,590,55,439,86
2020-04-25,MEX,1608,163,997,42,2885,120,110,6,21,-5,72,4,609,867,599,64,509,78
2020-04-26,MEX,1694,86,1046,49,2985,100,116,6,22,1,74,2,620,900,597,45,532,101
2020-04-27,MEX,1753,59,1313,267,3038,53,122,6,27,5,76,2,577,1136,532,45,588,92
2020-04-28,MEX,1966,213,1754,441,3140,102,128,6,42,15,79,3,668,1597,554,46,800,80
2020-04-29,MEX,2053,87,2136,382,3173,33,143,15,40,-2,80,1,596,1981,489,35,947,63
2020-04-30,MEX,2258,205,2487,351,3301,128,169,26,57,17,84,4,654,2290,504,49,1188,58
2020-05-01,MEX,2504,246,2510,23,3457,156,185,16,51,-6,85,1,739,2319,573,82,1212,52
2020-05-02,MEX,2615,111,2744,234,3551,94,191,6,47,-4,85,0,699,2527,561,58,1325,57
2020-05-03,MEX,2842,227,2811,67,3678,127,199,8,49,2,86,1,765,2579,591,53,1396,62
2020-05-04,MEX,3086,244,3174,363,3843,165,207,8,41,-8,87,1,744,2878,590,60,1607,75
2020-05-05,MEX,3210,124,3893,719,3905,62,227,20,62,21,88,1,689,3551,541,52,1973,72
2020-05-06,MEX,3374,164,4371,478,4090,185,244,17,59,-3,92,4,689,4002,600,50,2336,83
2020-05-07,MEX,3681,307,4756,385,4462,372,275,31,53,-6,95,3,804,4405,843,75,2719,92
2020-05-08,MEX,3863,182,5586,830,4588,126,300,25,53,0,98,3,813,5240,803,83,2913,100
2020-05-09,MEX,4025,162,6092,506,4650,62,321,21,62,9,100,2,783,5672,727,94,2864,103
2020-05-10,MEX,4146,121,6341,249,4707,57,340,19,59,-3,103,3,719,5838,665,92,2572,103
2020-05-11,MEX,4257,111,6817,476,4792,85,343,3,75,16,105,2,681,6164,580,92,2362,90
2020-05-12,MEX,4521,264,7405,588,5062,270,378,35,77,2,124,19,707,6705,629,90,2648,105
2020-05-13,MEX,4689,168,7623,218,5256,194,405,27,90,13,131,7,741,6781,675,74,2704,86
2020-05-14,MEX,4998,309,7637,14,5429,173,433,28,86,-4,135,4,854,6584,670,130,2646,110
2020-05-15,MEX,5168,170,7946,309,5611,182,453,20,84,-2,142,7,788,6554,596,117,2520,105
2020-05-16,MEX,5369,201,7978,32,5697,86,470,17,95,11,145,3,817,6210,535,155,2127,113
2020-05-17,MEX,5569,200,7802,-176,5928,231,478,8,94,-1,146,1,800,5858,508,121,1595,111
2020-05-18,MEX,5758,189,7890,88,6145,217,484,6,114,20,148,2,801,5551,478,113,1374,129
2020-05-19,MEX,6034,276,7828,-62,6621,476,503,19,122,8,154,6,797,5385,524,122,1461,137
2020-05-21,MEX,6369,335,7425,-403,7645,1024,622,119,134,12,188,34,733,5419,527,90,1819,119
2020-05-22,MEX,6697,328,6742,-683,8670,1025,809,187,122,-12,242,54,763,5241,778,63,2033,107
2020-05-23,MEX,6881,184,6487,-255,9125,455,842,33,105,-17,255,13,719,4952,808,57,1982,104
2020-05-24,MEX,7163,282,6090,-397,9438,313,846,4,96,-9,262,7,728,4380,735,76,1639,117
2020-05-25,MEX,7514,351,5749,-341,10262,824,872,26,82,-14,279,17,698,4361,855,69,1713,98
2020-05-26,MEX,8245,731,5068,-681,11061,799,943,71,82,0,288,9,1032,3901,1110,97,1683,126
2020-05-27,MEX,8906,661,4316,-752,12046,985,1002,59,72,-10,305,17,1386,3279,1687,86,1841,104
2020-05-28,MEX,9134,228,4629,313,12339,293,1046,44,74,2,331,26,1378,3558,1695,100,2138,100
2020-05-29,MEX,9365,231,5127,498,12562,223,1087,41,84,10,348,17,1286,3975,1612,109,2264,130
2020-05-30,MEX,9464,99,5545,418,12691,129,1148,61,83,-1,354,6,1158,4325,1505,94,2289,151
2020-05-31,MEX,9855,391,5181,-364,12943,252,1159,11,77,-6,356,2,1256,3933,1479,92,1940,139
2020-06-01,MEX,10095,240,5537,356,13154,211,1168,9,78,1,360,4,1188,4182,1296,86,1866,137
2020-06-02,MEX,10454,359,5850,313,13496,342,1205,37,107,29,367,7,1207,4397,1319,62,2074,137
2020-06-03,MEX,10824,370,6061,211,13872,376,1305,100,126,19,387,20,1365,4473,1394,70,2325,142
2020-06-04,MEX,11388,564,5959,-102,14392,520,1475,170,143,17,408,21,1706,4299,1707,101,2418,180
2020-06-05,MEX,11801,413,6345,386,14720,328,1531,56,171,28,422,14,1702,4688,1671,85,2635,117
2020-06-06,MEX,11957,156,6473,128,14908,188,1548,17,172,1,438,16,1563,4831,1608,69,2475,111
2020-06-07,MEX,12186,229,6165,-308,15137,229,1563,15,178,6,445,7,1496,4479,1567,91,1996,172
2020-06-08,MEX,12513,327,6484,319,15455,318,1621,58,180,2,448,3,1356,4689,1457,49,1980,119
2020-06-09,MEX,13053,540,6753,269,15862,407,1651,30,208,28,470,22,1511,4858,1584,62,2322,120
2020-06-10,MEX,13879,826,6638,-115,16385,523,1761,110,184,-24,485,15,1818,4871,1710,99,2657,145
2020-06-11,MEX,14546,667,6595,-43,16797,412,1813,52,206,22,499,14,2064,4723,1830,106,2814,170
2020-06-12,MEX,15071,525,7048,453,17193,396,1885,72,212,6,516,17,2114,5160,1803,140,3085,213
2020-06-13,MEX,15285,214,7275,227,17297,104,1931,46,197,-15,518,2,1912,5355,1600,94,2740,163
2020-06-14,MEX,15675,390,6963,-312,17488,191,1952,21,183,-14,521,3,1884,5008,1525,77,2227,173
2020-06-15,MEX,15906,231,7566,603,17653,165,2005,53,211,28,525,4,1547,5398,1294,64,2313,155
2020-06-16,MEX,16621,715,7673,107,18037,384,2109,104,221,10,538,13,1783,5457,1326,56,2478,139
2020-06-17,MEX,17130,509,7944,271,18546,509,2222,113,222,1,549,11,1866,5618,1542,65,2501,159
2020-06-18,MEX,17630,500,8074,130,19003,457,2343,121,230,8,564,15,1899,5656,1724,127,2590,199
2020-06-19,MEX,18029,399,8660,586,19221,218,2457,114,233,3,579,15,1763,6075,1629,128,2877,167
2020-06-20,MEX,18295,266,8871,211,19445,224,2502,45,230,-3,584,5,1490,6115,1501,143,2752,179
2020-06-21,MEX,19459,1164,8032,-839,19974,529,3092,590,210,-20,586,2,1601,5318,1691,181,2181,227
2020-06-22,MEX,20330,871,8102,70,20484,510,3415,323,196,-14,592,6,1627,5206,1762,163,1949,243
2020-06-23,MEX,20804,474,8567,465,20910,426,3515,100,212,16,614,22,1585,5518,1750,127,2141,207
2020-06-24,MEX,21759,955,8050,-517,21967,1057,3711,196,218,6,635,21,1860,4812,2264,159,2423,288
2020-06-25,MEX,22500,741,7933,-117,22741,774,3873,162,226,8,675,40,2063,4564,2612,179,2466,372
2020-06-26,MEX,22957,457,8517,584,23138,397,4021,148,236,10,695,20,2008,5022,2555,149,2821,348
2020-06-27,MEX,23247,290,8679,162,23338,200,4156,135,255,19,703,8,1909,5019,2428,131,2294,278
2020-06-28,MEX,23483,236,8384,-295,23562,224,4164,8,257,2,708,5,1783,4554,2293,120,1885,278
2020-06-29,MEX,23625,142,9338,954,23688,126,4200,36,254,-3,719,11,1410,5249,1866,67,2198,171
2020-06-30,MEX,24118,493,9607,269,24213,525,4312,112,290,36,736,17,1448,5315,1949,97,2367,239
2020-07-01,MEX,24741,623,9710,103,24932,719,4450,138,320,30,756,20,1643,5428,2237,79,2807,222
2020-07-02,MEX,25224,483,10239,529,25314,382,4514,64,329,9,777,21,1613,5763,2148,121,2952,222
2020-07-03,MEX,25842,618,10711,472,25832,518,4615,101,316,-13,794,17,1624,6231,2146,109,3321,195
2020-07-04,MEX,26418,576,10448,-263,26435,603,4670,55,288,-28,803,9,1642,5706,2109,202,2977,326
2020-07-05,MEX,26683,265,10343,-105,26705,270,4681,11,285,-3,807,4,1585,5444,2089,166,2376,347
2020-07-06,MEX,27070,387,10922,579,27018,313,4754,73,316,31,822,15,1518,5749,1929,118,2565,276
2020-07-07,MEX,27875,805,10982,60,27710,692,4894,140,315,-1,853,31,1787,5708,2184,149,2645,290
2020-07-08,MEX,28472,597,11573,591,28205,495,4985,91,332,17,870,17,1917,6173,2240,97,2913,241
2020-07-09,MEX,29226,754,11522,-51,28948,743,5062,77,323,-9,881,11,2153,6032,2509,170,2859,370
2020-07-10,MEX,29529,303,12618,1096,29355,407,5109,47,334,11,891,10,1998,6899,2411,148,3259,361
2020-07-11,MEX,29835,306,12587,-31,29653,298,5160,51,337,3,902,11,2040,6713,2423,180,2903,416
2020-07-12,MEX,30072,237,12598,11,29834,181,5184,24,320,-17,911,9,1827,6521,2243,154,2328,334
2020-07-13,MEX,30407,335,13163,565,30352,518,5237,53,325,5,921,10,1679,6864,2212,139,2389,342
2020-07-14,MEX,31019,612,13229,66,31015,663,5378,141,323,-2,944,23,1806,6597,2320,130,2630,290
2020-07-15,MEX,31426,407,13429,200,31567,552,5439,61,336,13,947,3,1684,6337,2363,123,2702,328
2020-07-16,MEX,31926,500,13469,40,32154,587,5524,85,345,9,960,13,1772,6010,2537,171,2635,370
