Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,MIC,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,MIC,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,MIC,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,MIC,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,MIC,0,0,2,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,MIC,0,0,10,8,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,MIC,0,0,16,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,MIC,0,0,11,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,MIC,3,3,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,MIC,7,4,10,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,MIC,8,1,14,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,MIC,10,2,24,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,MIC,11,1,36,12,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,MIC,16,5,41,5,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-28,MIC,17,1,48,7,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,MIC,17,0,63,15,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,MIC,17,0,65,2,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,MIC,21,4,70,5,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,MIC,24,3,61,-9,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,MIC,24,0,71,10,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,MIC,24,0,78,7,,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,MIC,29,5,67,-11,192,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,MIC,30,1,49,-18,222,30,3,2,0,0,0,0,0,0,0,0,0,0
2020-04-06,MIC,33,3,82,33,232,10,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,MIC,34,1,134,52,264,32,4,1,0,0,0,0,0,0,0,0,0,0
2020-04-08,MIC,36,2,181,47,285,21,5,1,0,0,0,0,0,0,0,0,0,0
2020-04-09,MIC,46,10,195,14,294,9,5,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,MIC,46,0,170,-25,366,72,7,2,0,0,0,0,0,0,0,0,0,0
2020-04-11,MIC,50,4,139,-31,417,51,8,1,0,0,0,0,0,0,0,0,0,0
2020-04-12,MIC,61,11,117,-22,438,21,9,1,2,2,8,8,24,82,169,9,44,30
2020-04-13,MIC,62,1,142,25,459,21,9,0,2,0,11,3,23,103,168,6,66,25
2020-04-14,MIC,67,5,163,21,477,18,11,2,2,0,16,5,27,129,165,3,77,26
2020-04-15,MIC,70,3,189,26,493,16,12,1,3,1,18,2,22,149,150,3,84,25
2020-04-16,MIC,84,14,229,40,503,10,13,1,4,1,18,0,32,185,130,9,99,19
2020-04-17,MIC,99,15,254,25,588,85,14,1,4,0,21,3,47,212,197,12,142,54
2020-04-18,MIC,107,8,249,-5,645,57,16,2,3,-1,22,1,53,211,225,13,150,61
2020-04-19,MIC,115,8,195,-54,700,55,17,1,3,0,22,0,57,158,255,9,95,81
2020-04-20,MIC,127,12,155,-40,764,64,17,0,3,0,25,3,60,127,284,7,67,86
2020-04-21,MIC,139,12,173,18,816,52,19,2,4,1,28,3,57,160,311,9,112,76
2020-04-22,MIC,146,7,173,0,870,54,21,2,1,-3,31,3,57,159,330,10,106,70
2020-04-23,MIC,168,22,147,-26,932,62,24,3,0,-1,34,3,70,140,348,13,98,74
2020-04-24,MIC,179,11,171,24,992,60,26,2,1,1,35,1,71,159,362,10,107,74
2020-04-25,MIC,195,16,191,20,1042,50,28,2,0,-1,35,0,77,176,373,11,115,80
2020-04-26,MIC,210,15,223,32,1069,27,31,3,2,2,36,1,81,208,354,13,142,68
2020-04-27,MIC,219,9,282,59,1080,11,34,3,2,0,38,2,73,259,318,5,152,40
2020-04-28,MIC,258,39,205,-77,1200,120,37,3,1,-1,40,2,100,189,384,18,122,69
2020-04-29,MIC,287,29,233,28,1245,45,38,1,2,1,40,0,117,218,377,20,156,68
2020-04-30,MIC,323,36,248,15,1320,75,42,4,2,0,43,3,134,235,402,32,157,111
2020-05-01,MIC,355,32,218,-30,1389,69,45,3,1,-1,44,1,146,209,413,30,147,112
2020-05-02,MIC,378,23,149,-69,1490,101,48,3,1,0,45,1,150,141,473,26,81,148
2020-05-03,MIC,381,3,177,28,1518,28,51,3,1,0,45,0,142,167,458,13,87,121
2020-05-04,MIC,388,7,204,27,1566,48,54,3,1,0,46,1,114,188,430,7,112,104
2020-05-05,MIC,407,19,257,53,1609,43,56,2,2,1,48,2,118,236,419,10,156,87
2020-05-06,MIC,436,29,272,15,1657,48,57,1,1,-1,50,2,124,257,419,15,199,66
2020-05-07,MIC,487,51,306,34,1701,44,58,1,4,3,51,1,145,292,426,25,230,60
2020-05-08,MIC,519,32,302,-4,1814,113,59,1,4,0,54,3,149,291,481,35,209,117
2020-05-09,MIC,574,55,218,-84,1922,108,62,3,3,-1,57,3,181,210,517,51,157,167
2020-05-10,MIC,588,14,295,77,1922,0,67,5,3,0,57,0,158,280,461,34,183,137
2020-05-11,MIC,596,8,381,86,1921,-1,71,4,3,0,63,6,145,361,400,24,210,81
2020-05-12,MIC,632,36,449,68,2060,139,73,2,4,1,65,2,161,428,481,16,285,72
2020-05-13,MIC,699,67,445,-4,2159,99,77,4,4,0,68,3,208,426,525,33,290,96
2020-05-14,MIC,741,42,567,122,2235,76,79,2,6,2,69,1,220,542,543,31,385,123
2020-05-16,MIC,883,142,639,72,2500,265,87,8,5,-1,78,9,292,589,689,69,461,227
