Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,MOR,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,MOR,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,MOR,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
