Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,SLP,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,SLP,0,0,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,SLP,1,1,3,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,SLP,2,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,SLP,2,0,8,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,SLP,2,0,7,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,SLP,3,1,16,9,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,SLP,7,4,9,-7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,SLP,7,0,14,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,SLP,9,2,17,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,SLP,12,3,24,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,SLP,16,4,21,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,SLP,16,0,23,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,SLP,17,1,31,8,,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-26,SLP,18,1,45,14,,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-03-27,SLP,19,1,59,14,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,SLP,20,1,61,2,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,SLP,24,4,78,17,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,SLP,25,1,65,-13,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,SLP,25,0,83,18,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,SLP,31,6,74,-9,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,SLP,33,2,104,30,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,SLP,35,2,152,48,,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,SLP,35,0,125,-27,364,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,SLP,37,2,111,-14,407,43,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,SLP,37,0,154,43,445,38,3,1,0,0,0,0,0,0,0,0,0,0
2020-04-07,SLP,41,4,187,33,464,19,3,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,SLP,43,2,156,-31,562,98,4,1,0,0,0,0,0,0,0,0,0,0
2020-04-09,SLP,47,4,169,13,595,33,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,SLP,48,1,165,-4,660,65,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,SLP,51,3,159,-6,689,29,4,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,SLP,53,2,145,-14,729,40,4,0,0,0,14,14,15,95,259,0,55,61
2020-04-13,SLP,55,2,101,-44,799,70,4,0,0,0,16,2,16,72,273,1,40,57
2020-04-14,SLP,55,0,115,14,842,43,4,0,0,0,17,1,12,109,257,1,77,43
2020-04-15,SLP,56,1,129,14,875,33,4,0,0,0,18,1,12,118,255,1,73,47
2020-04-16,SLP,56,0,106,-23,914,39,4,0,0,0,18,0,8,97,277,1,65,53
2020-04-17,SLP,58,2,108,2,925,11,4,0,0,0,18,0,7,97,288,1,65,59
2020-04-18,SLP,59,1,102,-6,949,24,4,0,0,0,18,0,6,88,282,1,57,66
2020-04-19,SLP,63,4,78,-24,985,36,4,0,0,0,18,0,9,63,280,3,43,66
2020-04-20,SLP,66,3,81,3,1003,18,4,0,2,2,18,0,10,65,253,3,39,48
