"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-02-27","TAM",0,,,0,
"2020-02-28","TAM",0,,,0,
"2020-02-29","TAM",0,,,0,
"2020-03-01","TAM",0,,,0,
"2020-03-02","TAM",0,,,0,
"2020-03-03","TAM",0,,,0,
"2020-03-04","TAM",0,,,0,
"2020-03-05","TAM",0,,,0,
"2020-03-06","TAM",0,,,0,
"2020-03-07","TAM",0,,,0,
"2020-03-08","TAM",0,,,0,
"2020-03-09","TAM",0,,,0,
"2020-03-10","TAM",0,,,0,
"2020-03-11","TAM",0,,,0,
"2020-03-12","TAM",0,,,0,
"2020-03-13","TAM",0,,,0,
"2020-03-14","TAM",0,3,,0,
"2020-03-15","TAM",0,,,0,
"2020-03-16","TAM",0,1,,0,
"2020-03-17","TAM",1,2,,0,
"2020-03-18","TAM",2,2,,0,
"2020-03-19","TAM",2,5,,0,
"2020-03-20","TAM",2,8,,0,
"2020-03-21","TAM",3,3,,0,
"2020-03-22","TAM",4,4,,0,
"2020-03-23","TAM",5,3,,0,
"2020-03-24","TAM",5,9,,0,
"2020-03-25","TAM",6,13,,0,
"2020-03-26","TAM",6,17,,0,
"2020-03-27","TAM",6,23,,0,
"2020-03-28","TAM",6,33,,0,
"2020-03-29","TAM",7,29,,0,
"2020-03-30","TAM",8,32,,0,
"2020-03-31","TAM",8,54,,0,
"2020-04-01","TAM",9,61,,0,
"2020-04-02","TAM",13,70,,0,
"2020-04-03","TAM",16,80,,0,
"2020-04-04","TAM",20,83,125,1,
"2020-04-05","TAM",26,67,156,1,
"2020-04-06","TAM",31,82,169,1,
"2020-04-07","TAM",32,111,243,3,
"2020-04-08","TAM",43,102,267,3,
"2020-04-09","TAM",46,126,296,3,
"2020-04-10","TAM",48,122,328,3,
