Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-02-27,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,TLA,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,TLA,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,TLA,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,TLA,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,TLA,0,0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,TLA,0,0,10,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,TLA,0,0,12,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,TLA,0,0,6,-6,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,TLA,0,0,13,7,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,TLA,1,1,15,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,TLA,1,0,35,20,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,TLA,4,3,46,11,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,TLA,4,0,41,-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,TLA,4,0,37,-4,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,TLA,4,0,51,14,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,TLA,4,0,64,13,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,TLA,5,1,66,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,TLA,5,0,76,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,TLA,8,3,78,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,TLA,9,1,71,-7,151,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,TLA,11,2,72,1,153,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,TLA,14,3,75,3,152,-1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,TLA,18,4,83,8,189,37,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,TLA,23,5,92,9,180,-9,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,TLA,29,6,94,2,204,24,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,TLA,34,5,96,2,242,38,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-11,TLA,38,4,93,-3,260,18,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,TLA,40,2,85,-8,270,10,2,1,0,0,3,3,22,57,113,2,31,30
2020-04-13,TLA,49,9,79,-6,291,21,2,0,0,0,3,0,27,49,113,5,31,34
2020-04-14,TLA,51,2,149,70,300,9,4,2,1,1,3,0,26,119,110,3,93,20
2020-04-15,TLA,58,7,95,-54,370,70,4,0,0,-1,4,1,29,62,160,6,38,76
2020-04-16,TLA,62,4,94,-1,386,16,4,0,0,0,4,0,29,58,166,6,35,77
2020-04-17,TLA,67,5,94,0,410,24,4,0,0,0,5,1,28,62,184,3,44,85
2020-04-18,TLA,72,5,86,-8,429,19,4,0,0,0,5,0,24,57,188,4,39,83
2020-04-19,TLA,76,4,66,-20,451,22,4,0,0,0,5,0,26,42,195,5,25,82
2020-04-20,TLA,78,2,69,3,459,8,4,0,0,0,5,0,24,45,191,7,27,47
2020-04-21,TLA,84,6,51,-18,474,15,5,1,0,0,5,0,25,45,182,6,24,29
