Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,AGU,55,0,74,0,631,0,1,0,0,0,0,0,3,46,202,0,19,29
2020-04-13,AGU,55,0,97,23,638,7,1,0,0,0,0,0,2,66,163,0,34,15
2020-04-14,AGU,65,10,66,-31,721,83,1,0,1,1,0,0,7,46,205,0,36,40
2020-04-15,AGU,65,0,83,17,754,33,1,0,1,0,0,0,6,64,188,0,49,55
2020-04-16,AGU,71,6,77,-6,788,34,2,1,0,-1,1,1,10,59,208,3,45,71
2020-04-17,AGU,77,6,76,-1,816,28,2,0,0,0,1,0,15,59,237,7,36,98
2020-04-18,AGU,77,0,82,6,828,12,2,0,0,0,1,0,15,62,227,4,30,87
2020-04-19,AGU,81,4,57,-25,849,21,2,0,0,0,1,0,18,40,222,2,19,55
2020-04-20,AGU,81,0,59,2,852,3,2,0,0,0,1,0,16,45,195,2,17,40
2020-04-21,AGU,81,0,120,61,869,17,2,0,0,0,1,0,13,113,190,0,79,24
2020-04-22,AGU,100,19,115,-5,900,31,2,0,0,0,1,0,26,106,188,3,72,28
2020-04-23,AGU,106,6,112,-3,958,58,2,0,0,0,1,0,30,105,221,5,91,44
2020-04-24,AGU,146,40,101,-11,996,38,2,0,0,0,1,0,65,98,235,15,85,65
2020-04-25,AGU,147,1,97,-4,1010,14,2,0,0,0,1,0,60,94,216,8,80,50
2020-04-26,AGU,148,1,99,2,1016,6,2,0,0,0,1,0,55,97,178,5,68,27
2020-04-27,AGU,161,13,147,48,1048,32,2,0,0,0,1,0,63,146,180,4,114,5
2020-04-28,AGU,167,6,261,114,1112,64,2,0,1,1,2,1,59,257,202,1,194,11
2020-04-29,AGU,185,18,265,4,1210,98,2,0,1,0,2,0,66,257,277,9,183,48
2020-04-30,AGU,205,20,256,-9,1341,131,6,4,0,-1,3,1,78,248,370,12,191,45
2020-05-01,AGU,224,19,264,8,1435,94,7,1,0,0,3,0,87,260,435,16,207,57
2020-05-02,AGU,253,29,165,-99,1558,123,7,0,0,0,3,0,98,158,506,30,112,127
2020-05-03,AGU,265,12,141,-24,1590,32,7,0,0,0,3,0,104,133,489,33,101,105
2020-05-04,AGU,286,21,104,-37,1645,55,9,2,0,0,3,0,106,100,452,23,80,68
2020-05-05,AGU,289,3,324,220,1697,52,9,0,0,0,3,0,103,321,465,20,235,59
2020-05-06,AGU,292,3,448,124,1741,44,9,0,0,0,3,0,95,442,457,13,344,25
2020-05-07,AGU,292,0,402,-46,1848,107,10,1,0,0,3,0,81,398,461,2,326,60
2020-05-08,AGU,301,9,373,-29,1970,122,12,2,0,0,3,0,78,368,511,7,308,133
2020-05-09,AGU,303,2,454,81,2003,33,13,1,0,0,3,0,71,447,505,6,344,45
2020-05-10,AGU,330,27,417,-37,2031,28,13,0,0,0,3,0,86,412,479,5,296,32
2020-05-11,AGU,352,22,322,-95,2158,127,13,0,0,0,3,0,81,314,509,4,217,45
2020-05-12,AGU,382,30,276,-46,2277,119,13,0,0,0,3,0,100,273,529,8,216,81
2020-05-13,AGU,398,16,305,29,2383,106,14,1,0,0,3,0,104,298,564,7,268,39
2020-05-14,AGU,407,9,463,158,2490,107,15,1,0,0,4,1,94,455,623,9,401,98
2020-05-15,AGU,443,36,405,-58,2605,115,17,2,0,0,8,4,120,399,713,27,370,163
2020-05-16,AGU,442,-1,375,-30,2671,66,19,2,0,0,8,0,102,367,632,22,344,161
2020-05-17,AGU,472,30,355,-20,2669,-2,19,0,0,0,8,0,117,346,567,28,313,120
2020-05-18,AGU,477,5,274,-81,2832,163,19,0,0,0,8,0,112,269,615,16,182,67
2020-05-19,AGU,515,38,124,-150,2994,162,19,0,0,0,8,0,121,122,738,27,102,111
2020-05-21,AGU,586,71,74,-50,3138,144,20,1,0,0,8,0,163,68,702,57,61,123
2020-05-22,AGU,609,23,60,-14,3224,86,24,4,0,0,8,0,179,55,737,60,48,166
2020-05-23,AGU,614,5,98,38,3231,7,25,1,0,0,8,0,176,92,685,53,82,125
2020-05-24,AGU,616,2,106,8,3232,1,25,0,0,0,8,0,157,98,627,38,86,102
2020-05-25,AGU,649,33,61,-45,3298,66,25,0,0,0,8,0,159,57,440,50,45,119
2020-05-26,AGU,676,27,95,34,3350,52,29,4,1,1,10,2,173,91,432,54,76,110
2020-05-27,AGU,716,40,127,32,3400,50,31,2,0,-1,13,3,190,123,404,60,109,111
2020-05-28,AGU,769,53,136,9,3471,71,32,1,0,0,14,1,213,131,449,72,110,144
2020-05-29,AGU,797,28,171,35,3555,84,32,0,0,0,16,2,219,165,497,70,144,165
2020-05-30,AGU,816,19,161,-10,3596,41,34,2,0,0,16,0,224,157,486,66,138,174
2020-05-31,AGU,816,0,179,18,3596,0,34,0,0,0,16,0,207,175,459,46,131,130
2020-06-01,AGU,841,25,235,56,3597,1,34,0,0,0,16,0,210,230,412,44,171,87
2020-06-02,AGU,890,49,239,4,3680,83,34,0,0,0,16,0,239,234,437,38,172,78
2020-06-03,AGU,939,49,231,-8,3789,109,35,1,1,1,16,0,253,221,490,55,183,89
2020-06-04,AGU,1035,96,157,-74,3877,88,37,2,0,-1,17,1,314,142,526,101,121,110
2020-06-05,AGU,1072,37,199,42,3915,38,46,9,0,0,17,0,321,188,515,108,161,108
2020-06-06,AGU,1104,32,205,6,3950,35,48,2,0,0,18,1,330,191,518,103,162,109
2020-06-07,AGU,1104,0,232,27,3951,1,48,0,0,0,18,0,301,218,461,78,173,68
2020-06-08,AGU,1160,56,206,-26,4007,56,50,2,0,0,18,0,315,195,440,60,153,72
2020-06-09,AGU,1222,62,250,44,4058,51,53,3,0,0,19,1,331,236,412,51,207,85
2020-06-10,AGU,1251,29,372,122,4089,31,56,3,2,2,21,2,328,359,372,50,320,71
2020-06-11,AGU,1320,69,424,52,4156,67,64,8,0,-2,22,1,352,408,388,81,368,107
2020-06-12,AGU,1401,81,394,-30,4264,108,65,1,0,0,22,0,396,379,452,102,324,183
