Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,CAM,20,0,11,0,75,0,0,0,0,0,1,0,8,10,29,2,7,7
2020-04-13,CAM,22,2,29,18,80,5,1,1,0,0,1,0,9,28,28,0,24,8
2020-04-14,CAM,25,3,26,-3,100,20,1,0,0,0,1,0,11,25,44,2,21,22
2020-04-15,CAM,28,3,31,5,104,4,1,0,0,0,1,0,11,29,46,1,22,23
2020-04-16,CAM,28,0,43,12,111,7,2,1,0,0,1,0,10,41,52,1,29,24
2020-04-17,CAM,29,1,37,-6,124,13,2,0,0,0,1,0,9,34,59,1,22,22
2020-04-18,CAM,37,8,25,-12,133,9,2,0,0,0,1,0,14,24,62,0,20,27
2020-04-19,CAM,38,1,21,-4,140,7,3,1,0,0,1,0,13,19,68,0,14,10
2020-04-20,CAM,43,5,28,7,144,4,3,0,1,1,1,0,16,26,66,1,21,5
2020-04-21,CAM,46,3,19,-9,164,20,3,0,0,-1,3,2,18,17,82,3,9,21
2020-04-22,CAM,49,3,19,0,172,8,4,1,1,1,3,0,17,17,84,2,7,18
2020-04-23,CAM,49,0,23,4,179,7,5,1,2,1,3,0,16,21,83,0,9,18
2020-04-24,CAM,60,11,12,-11,192,13,8,3,0,-2,4,1,23,12,81,5,4,22
2020-04-25,CAM,63,3,36,24,194,2,9,1,0,0,4,0,21,36,81,5,28,12
2020-04-26,CAM,69,6,41,5,222,28,12,3,0,0,5,1,25,41,82,2,27,23
2020-04-27,CAM,76,7,23,-18,237,15,13,1,0,0,5,0,27,23,85,7,12,26
2020-04-28,CAM,81,5,39,16,246,9,16,3,0,0,7,2,30,38,91,8,16,28
2020-04-29,CAM,87,6,27,-12,256,10,17,1,0,0,7,0,31,26,92,7,12,32
2020-04-30,CAM,93,6,28,1,270,14,17,0,0,0,7,0,33,25,95,7,8,33
2020-05-01,CAM,100,7,24,-4,284,14,17,0,0,0,7,0,36,24,100,6,10,13
2020-05-02,CAM,109,9,17,-7,296,12,20,3,1,1,7,0,41,17,94,6,6,17
2020-05-03,CAM,113,4,21,4,300,4,20,0,1,0,7,0,39,21,87,7,12,15
2020-05-04,CAM,122,9,28,7,305,5,21,1,0,-1,10,3,40,26,77,11,12,15
2020-05-05,CAM,125,3,49,21,311,6,22,1,0,0,10,0,39,46,78,11,26,15
2020-05-06,CAM,147,22,38,-11,322,11,23,1,1,1,11,1,51,34,85,14,25,22
2020-05-07,CAM,157,10,41,3,335,13,24,1,0,-1,12,1,56,38,86,15,28,19
