Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,COL,7,0,26,0,87,0,0,0,0,0,2,0,0,19,23,0,11,2
2020-04-13,COL,8,1,32,6,87,0,0,0,1,1,2,0,1,22,22,1,16,1
2020-04-14,COL,8,0,26,-6,97,10,0,0,1,0,3,1,1,16,26,0,10,4
2020-04-15,COL,8,0,32,6,97,0,0,0,1,0,3,0,1,22,22,0,15,3
2020-04-16,COL,8,0,30,-2,98,1,0,0,2,1,3,0,1,25,19,0,16,0
2020-04-17,COL,10,2,26,-4,101,3,2,2,1,-1,3,0,3,22,24,1,15,7
2020-04-18,COL,11,1,21,-5,103,2,2,0,1,0,3,0,4,16,26,1,9,8
2020-04-19,COL,12,1,20,-1,105,2,2,0,1,0,3,0,5,14,24,1,8,7
2020-04-20,COL,12,0,20,0,105,0,2,0,1,0,3,0,4,14,23,1,7,4
2020-04-21,COL,15,3,12,-8,106,1,2,0,1,0,3,0,6,10,20,3,4,3
2020-04-22,COL,15,0,13,1,109,3,2,0,0,-1,3,0,6,11,20,1,5,3
2020-04-23,COL,16,1,9,-4,112,3,2,0,0,0,4,1,7,8,17,1,5,1
2020-04-24,COL,16,0,5,-4,118,6,2,0,0,0,4,0,7,5,21,1,3,4
2020-04-25,COL,17,1,7,2,140,22,2,0,0,0,4,0,6,6,41,1,3,4
2020-04-26,COL,19,2,10,3,142,2,2,0,0,0,4,0,6,8,41,1,5,4
2020-04-27,COL,24,5,11,1,146,4,2,0,1,1,4,0,10,10,41,2,7,4
2020-04-28,COL,26,2,11,0,151,5,2,0,1,0,6,2,12,11,41,1,11,6
2020-04-29,COL,26,0,16,5,156,5,3,1,0,-1,7,1,10,16,35,1,15,6
2020-04-30,COL,27,1,22,6,163,7,3,0,0,0,8,1,11,21,36,1,19,7
2020-05-01,COL,28,1,19,-3,170,7,3,0,0,0,8,0,6,19,37,0,17,11
2020-05-02,COL,29,1,15,-4,177,7,3,0,0,0,8,0,6,15,37,0,14,10
2020-05-03,COL,29,0,23,8,177,0,4,1,0,0,8,0,6,23,34,0,18,4
2020-05-04,COL,30,1,23,0,183,6,4,0,0,0,8,0,6,23,35,1,15,5
2020-05-05,COL,31,1,25,2,185,2,5,1,1,1,9,1,6,23,36,2,15,3
2020-05-06,COL,31,0,41,16,188,3,6,1,1,0,9,0,6,39,35,2,28,4
2020-05-07,COL,35,4,46,5,192,4,6,0,2,1,9,0,8,43,35,0,32,5
2020-05-08,COL,38,3,21,-25,221,29,6,0,2,0,9,0,10,20,58,1,18,18
2020-05-09,COL,38,0,26,5,227,6,6,0,2,0,9,0,9,25,56,0,19,16
2020-05-10,COL,44,6,16,-10,236,9,6,0,2,0,9,0,15,15,57,2,11,17
2020-05-11,COL,45,1,22,6,240,4,6,0,2,0,9,0,14,20,56,1,17,16
2020-05-12,COL,46,1,29,7,243,3,7,1,2,0,9,0,15,28,55,1,27,10
2020-05-13,COL,46,0,35,6,248,5,7,0,0,-2,11,2,13,35,56,1,29,8
2020-05-14,COL,54,8,30,-5,262,14,7,0,0,0,12,1,17,30,65,5,25,16
2020-05-15,COL,58,4,37,7,268,6,7,0,1,1,12,0,18,37,64,2,30,16
2020-05-16,COL,62,4,44,7,271,3,8,1,0,-1,13,1,19,44,60,5,33,13
2020-05-17,COL,69,7,33,-11,284,13,8,0,0,0,13,0,25,33,65,8,27,15
