Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,DUR,18,0,63,0,269,0,4,0,0,0,2,0,4,38,97,0,11,10
2020-04-13,DUR,18,0,72,9,272,3,4,0,0,0,2,0,2,45,81,0,14,7
2020-04-14,DUR,17,-1,89,17,273,1,3,-1,0,0,3,1,2,57,70,0,22,3
2020-04-15,DUR,18,1,95,6,280,7,4,1,0,0,2,-1,2,55,65,0,25,2
2020-04-16,DUR,18,0,89,-6,306,26,4,0,0,0,5,3,1,55,61,0,38,2
2020-04-17,DUR,20,2,100,11,279,-27,4,0,0,0,6,1,2,69,52,1,39,7
2020-04-18,DUR,20,0,100,0,285,6,4,0,0,0,6,0,2,70,43,1,37,9
2020-04-19,DUR,22,2,95,-5,292,7,4,0,0,0,6,0,4,63,41,1,29,10
2020-04-20,DUR,23,1,62,-33,333,41,4,0,0,0,6,0,5,35,68,1,11,22
2020-04-21,DUR,31,8,20,-42,356,23,4,0,0,0,6,0,14,14,78,0,8,15
2020-04-22,DUR,33,2,26,6,416,60,5,1,0,0,6,0,16,20,73,2,10,13
2020-04-23,DUR,38,5,20,-6,437,21,5,0,0,0,6,0,20,15,85,3,8,14
2020-04-24,DUR,40,2,30,10,451,14,5,0,0,0,6,0,18,25,87,4,17,19
2020-04-25,DUR,42,2,33,3,490,39,6,1,1,1,7,1,16,30,118,4,21,32
2020-04-26,DUR,44,2,25,-8,511,21,6,0,0,-1,8,1,17,23,127,5,18,36
2020-04-27,DUR,45,1,37,12,525,14,6,0,0,0,8,0,15,35,127,2,27,30
2020-04-28,DUR,56,11,53,16,533,8,6,0,0,0,8,0,20,50,117,10,36,24
2020-04-29,DUR,58,2,88,35,556,23,6,0,0,0,8,0,22,84,126,10,60,34
2020-04-30,DUR,66,8,69,-19,592,36,7,1,1,1,8,0,29,66,143,10,46,22
2020-05-01,DUR,70,4,49,-20,622,30,7,0,1,0,8,0,32,49,158,8,37,31
2020-05-02,DUR,73,3,65,16,636,14,7,0,1,0,8,0,33,64,160,6,45,37
2020-05-03,DUR,75,2,114,49,639,3,7,0,1,0,8,0,33,113,146,2,90,24
2020-05-04,DUR,80,5,114,0,663,24,7,0,1,0,8,0,33,113,148,3,75,29
2020-05-05,DUR,80,0,137,23,671,8,8,1,0,-1,8,0,30,136,137,1,90,24
2020-05-06,DUR,91,11,100,-37,769,98,8,0,0,0,8,0,34,98,213,4,73,63
2020-05-07,DUR,97,6,98,-2,809,40,11,3,0,0,8,0,36,97,210,6,74,71
2020-05-08,DUR,107,10,109,11,869,60,11,0,0,0,8,0,39,108,253,9,95,75
2020-05-09,DUR,109,2,113,4,906,37,11,0,0,0,8,0,37,113,277,6,97,61
2020-05-10,DUR,115,6,93,-20,933,27,12,1,0,0,8,0,34,91,271,10,74,58
2020-05-11,DUR,117,2,98,5,949,16,12,0,0,0,8,0,33,94,241,8,69,55
2020-05-12,DUR,123,6,102,4,993,44,13,1,0,0,8,0,33,100,267,7,75,59
2020-05-13,DUR,127,4,129,27,1013,20,15,2,0,0,12,4,36,125,264,6,98,58
2020-05-14,DUR,144,17,129,0,1055,42,15,0,0,0,14,2,51,120,278,7,100,63
2020-05-15,DUR,150,6,169,40,1085,30,16,1,0,0,14,0,48,160,278,6,120,65
2020-05-16,DUR,156,6,176,7,1110,25,17,1,0,0,14,0,48,166,253,3,116,70
2020-05-17,DUR,158,2,169,-7,1137,27,17,0,1,1,14,0,45,158,249,3,82,63
2020-05-18,DUR,169,11,113,-56,1218,81,18,1,0,-1,14,0,50,100,299,8,59,56
2020-05-19,DUR,176,7,135,22,1246,28,19,1,1,1,18,4,49,121,284,6,84,43
2020-05-21,DUR,194,18,198,63,1304,58,23,4,1,0,21,3,46,178,286,5,124,50
2020-05-22,DUR,211,17,202,4,1344,40,26,3,1,0,21,0,53,179,276,12,124,52
2020-05-23,DUR,217,6,215,13,1370,26,26,0,2,1,21,0,52,192,271,14,121,56
2020-05-24,DUR,233,16,181,-34,1404,34,26,0,1,-1,22,1,65,157,246,23,87,67
2020-05-25,DUR,246,13,185,4,1436,32,26,0,2,1,22,0,70,156,236,20,71,68
2020-05-26,DUR,249,3,249,64,1451,15,27,1,2,0,22,0,65,216,219,13,111,51
2020-05-27,DUR,279,30,290,41,1477,26,32,5,2,0,23,1,85,243,228,24,142,49
2020-05-28,DUR,304,25,291,1,1550,73,33,1,3,1,24,1,102,236,273,33,147,90
2020-05-29,DUR,322,18,344,53,1589,39,34,1,3,0,25,1,109,281,275,33,203,101
2020-05-30,DUR,365,43,335,-9,1672,83,37,3,3,0,25,0,139,264,334,48,194,143
2020-05-31,DUR,384,19,276,-59,1750,78,37,0,3,0,25,0,151,203,392,51,123,169
2020-06-01,DUR,400,16,296,20,1788,38,37,0,3,0,25,0,153,203,401,48,123,144
2020-06-02,DUR,410,10,430,134,1803,15,41,4,3,0,25,0,147,323,382,43,197,103
2020-06-03,DUR,470,60,451,21,1883,80,43,2,3,0,25,0,186,344,415,64,223,111
2020-06-04,DUR,498,28,448,-3,2029,146,46,3,3,0,25,0,201,357,523,65,195,166
2020-06-05,DUR,536,38,470,22,2158,129,48,2,4,1,25,0,223,375,627,67,234,170
2020-06-06,DUR,567,31,469,-1,2266,108,52,4,4,0,26,1,231,366,692,67,233,200
2020-06-07,DUR,627,60,366,-103,2371,105,53,1,4,0,26,0,267,255,747,89,157,243
2020-06-08,DUR,659,32,392,26,2410,39,53,0,4,0,26,0,278,268,706,67,155,184
2020-06-09,DUR,683,24,556,164,2463,53,54,1,4,0,28,2,277,425,665,69,269,180
2020-06-10,DUR,724,41,645,89,2560,97,56,2,4,0,29,1,288,514,634,69,339,183
2020-06-11,DUR,775,51,661,16,2709,149,59,3,4,0,29,0,299,510,720,75,346,239
2020-06-12,DUR,856,81,653,-8,2860,151,65,6,5,1,31,2,344,499,778,86,338,255
2020-06-13,DUR,920,64,602,-51,3000,140,74,9,4,-1,31,0,366,449,866,89,310,281
2020-06-14,DUR,971,51,520,-82,3154,154,75,1,4,0,31,0,384,360,969,80,221,323
2020-06-15,DUR,985,14,596,76,3225,71,77,2,4,0,31,0,329,434,864,45,303,251
2020-06-16,DUR,1003,18,820,224,3299,74,78,1,3,-1,36,5,313,661,857,35,459,197
2020-06-17,DUR,1090,87,743,-77,3382,83,97,19,3,0,36,0,360,578,927,67,396,215
2020-06-18,DUR,1170,80,727,-16,3539,157,100,3,3,0,38,2,387,553,991,82,313,270
