Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,GUA,83,0,174,0,1466,0,5,0,1,0,17,0,24,120,520,2,75,127
2020-04-13,GUA,89,6,159,-15,1515,49,5,0,1,0,18,1,29,103,473,5,68,112
2020-04-14,GUA,91,2,172,13,1571,56,5,0,1,0,21,3,30,117,455,4,90,94
2020-04-15,GUA,92,1,187,15,1641,70,5,0,1,0,21,0,25,129,477,3,99,123
2020-04-16,GUA,97,5,280,93,1667,26,6,1,1,0,23,2,23,218,449,4,174,110
2020-04-17,GUA,114,17,226,-54,1733,66,7,1,5,4,26,3,35,205,543,14,168,173
2020-04-18,GUA,118,4,344,118,1762,29,9,2,5,0,26,0,35,322,529,12,281,159
2020-04-19,GUA,134,16,193,-151,1931,169,9,0,2,-3,29,3,46,170,641,24,130,244
2020-04-20,GUA,151,17,180,-13,1999,68,9,0,2,0,29,0,61,160,643,32,122,200
2020-04-21,GUA,159,8,224,44,2099,100,9,0,3,1,29,0,68,216,676,22,169,199
2020-04-22,GUA,173,14,343,119,2221,122,9,0,5,2,38,9,78,339,714,19,299,160
2020-04-23,GUA,183,10,347,4,2411,190,14,5,3,-2,40,2,83,339,858,13,306,241
2020-04-24,GUA,193,10,513,166,2485,74,17,3,3,0,46,6,87,504,861,15,459,235
2020-04-25,GUA,198,5,582,69,2592,107,19,2,2,-1,48,2,88,574,917,8,509,253
2020-04-26,GUA,206,8,475,-107,2764,172,20,1,1,-1,49,1,89,470,1004,7,381,266
2020-04-27,GUA,216,10,473,-2,2877,113,21,1,3,2,49,0,89,463,1002,8,317,188
2020-04-28,GUA,221,5,540,67,3062,185,21,0,3,0,50,1,73,533,1076,5,397,157
2020-04-29,GUA,239,18,679,139,3276,214,22,1,0,-3,55,5,75,671,1170,7,568,152
2020-04-30,GUA,263,24,812,133,3492,216,24,2,1,1,55,0,86,804,1276,19,705,210
2020-05-01,GUA,283,20,854,42,3804,312,26,2,1,0,55,0,99,852,1480,17,753,369
2020-05-02,GUA,290,7,713,-141,4072,268,27,1,1,0,55,0,91,709,1645,16,573,434
2020-05-03,GUA,308,18,547,-166,4277,205,31,4,2,1,55,0,96,541,1665,10,384,316
2020-05-04,GUA,315,7,538,-9,4410,133,33,2,3,1,57,2,89,530,1549,5,361,122
2020-05-05,GUA,329,14,609,71,4608,198,38,5,1,-2,59,2,92,596,1577,7,455,99
2020-05-06,GUA,343,14,691,82,4792,184,40,2,1,0,59,0,93,676,1562,8,589,105
