Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,JAL,158,0,585,0,2328,0,11,0,2,0,19,0,32,229,829,6,119,151
2020-04-13,JAL,161,3,601,16,2403,75,11,0,3,1,22,3,27,217,790,5,126,140
2020-04-14,JAL,166,5,603,2,2490,87,11,0,2,-1,25,3,27,229,759,4,150,121
2020-04-15,JAL,178,12,545,-58,2625,135,11,0,2,0,28,3,37,192,723,6,147,127
2020-04-16,JAL,180,2,600,55,2708,83,11,0,3,1,31,3,34,283,662,4,230,115
2020-04-17,JAL,189,9,552,-48,2586,-122,13,2,1,-2,34,3,33,318,651,4,239,162
2020-04-18,JAL,195,6,526,-26,2652,66,13,0,0,-1,36,2,35,337,616,4,270,139
2020-04-19,JAL,197,2,358,-168,2789,137,13,0,0,0,36,0,34,205,686,2,131,213
2020-04-20,JAL,215,18,268,-90,2914,125,14,1,1,1,36,0,46,131,733,9,93,205
2020-04-21,JAL,225,10,257,-11,2958,44,15,1,4,3,37,1,47,247,704,8,190,158
2020-04-22,JAL,235,10,356,99,3410,452,15,0,4,0,54,17,45,348,710,10,273,150
2020-04-23,JAL,254,19,451,95,3581,171,19,4,3,-1,57,3,60,440,814,16,372,215
2020-04-24,JAL,263,9,610,159,3695,114,20,1,2,-1,60,3,63,597,838,14,520,198
2020-04-25,JAL,271,8,765,155,3825,130,23,3,1,-1,62,2,67,750,883,14,608,224
2020-04-26,JAL,282,11,776,11,3915,90,25,2,2,1,66,4,72,762,893,18,533,186
2020-04-27,JAL,303,21,636,-140,4164,249,25,0,3,1,70,4,83,618,1040,16,381,182
2020-04-28,JAL,316,13,565,-71,4412,248,25,0,2,-1,72,2,82,546,1187,16,336,246
2020-04-29,JAL,326,10,640,75,4533,121,25,0,4,2,73,1,86,627,1199,10,413,179
2020-04-30,JAL,347,21,690,50,4642,109,28,3,5,1,76,3,92,672,1227,16,442,107
2020-05-01,JAL,375,28,615,-75,4872,230,30,2,4,-1,78,2,108,600,1301,22,444,140
2020-05-02,JAL,387,12,578,-37,4994,122,32,2,4,0,79,1,111,566,1277,20,414,126
2020-05-03,JAL,417,30,402,-176,5186,192,33,1,8,4,86,7,131,392,1272,27,311,170
2020-05-04,JAL,447,30,310,-92,5428,242,34,1,8,0,88,2,144,299,1241,33,242,264
2020-05-05,JAL,469,22,335,25,5518,90,36,2,9,1,92,4,145,323,1169,34,250,248
2020-05-06,JAL,492,23,378,43,5631,113,38,2,8,-1,93,1,149,367,1107,31,303,239
2020-05-07,JAL,508,16,312,-66,5839,208,43,5,6,-2,107,14,143,302,1127,24,240,312
2020-05-08,JAL,554,46,394,82,5909,70,47,4,5,-1,110,3,166,374,1063,44,288,271
2020-05-09,JAL,592,38,440,46,6062,153,50,3,4,-1,116,6,187,430,1075,53,346,322
2020-05-10,JAL,593,1,537,97,6103,41,54,4,4,0,118,2,172,525,1024,43,425,243
2020-05-11,JAL,636,43,565,28,6249,146,57,3,4,0,118,0,195,550,1048,37,457,258
2020-05-12,JAL,670,34,477,-88,6561,312,57,0,3,-1,124,6,210,462,1242,35,388,393
2020-05-13,JAL,699,29,453,-24,6768,207,61,4,1,-2,129,5,218,444,1335,37,389,459
2020-05-14,JAL,747,48,477,24,6985,217,66,5,3,2,132,3,234,467,1427,53,401,489
2020-05-15,JAL,767,20,737,260,7104,119,70,4,4,1,134,2,234,718,1413,53,639,434
2020-05-16,JAL,796,29,778,41,7324,220,77,7,3,-1,138,4,232,758,1532,52,671,503
2020-05-17,JAL,845,49,468,-310,7666,342,82,5,4,1,139,1,255,444,1744,61,358,639
2020-05-18,JAL,884,39,430,-38,7833,167,85,3,3,-1,138,-1,251,393,1796,66,302,593
2020-05-19,JAL,919,35,511,81,7972,139,91,6,3,0,142,4,251,471,1792,73,392,514
2020-05-21,JAL,1028,109,599,88,8275,303,97,6,7,4,153,11,312,550,1785,85,463,412
2020-05-22,JAL,1095,67,638,39,8446,171,102,5,7,0,156,3,356,586,1772,110,491,422
2020-05-23,JAL,1132,37,726,88,8562,116,102,0,8,1,157,1,360,673,1733,111,574,383
2020-05-24,JAL,1180,48,511,-215,8863,301,107,5,4,-4,167,10,370,453,1812,104,367,501
