Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,MIC,61,0,121,0,442,0,9,0,2,0,8,0,24,83,171,9,43,29
2020-04-13,MIC,62,1,146,25,463,21,9,0,2,0,10,2,23,104,169,6,64,24
2020-04-14,MIC,68,6,165,19,481,18,11,2,2,0,15,5,28,128,166,3,75,24
2020-04-15,MIC,71,3,194,29,496,15,12,1,3,1,18,3,23,151,149,3,85,23
2020-04-16,MIC,85,14,233,39,507,11,13,1,4,1,18,0,33,186,129,9,99,20
2020-04-17,MIC,100,15,255,22,591,84,14,1,4,0,21,3,47,210,196,12,139,56
2020-04-18,MIC,108,8,252,-3,646,55,16,2,3,-1,22,1,53,211,222,13,149,61
2020-04-19,MIC,116,8,197,-55,700,54,17,1,3,0,22,0,57,158,252,9,94,81
2020-04-20,MIC,128,12,154,-43,763,63,17,0,3,0,25,3,60,124,279,7,64,84
2020-04-21,MIC,139,11,172,18,813,50,19,2,4,1,28,3,56,158,304,8,110,76
2020-04-22,MIC,145,6,173,1,866,53,20,1,1,-3,31,3,55,158,323,10,105,69
2020-04-23,MIC,166,21,146,-27,930,64,23,3,0,-1,34,3,67,139,345,13,97,73
2020-04-24,MIC,177,11,170,24,990,60,25,2,1,1,35,1,69,158,359,10,107,74
2020-04-25,MIC,193,16,188,18,1040,50,27,2,0,-1,35,0,75,173,370,11,113,81
2020-04-26,MIC,204,11,219,31,1067,27,30,3,2,2,36,1,75,204,351,11,138,69
2020-04-27,MIC,213,9,276,57,1079,12,33,3,1,-1,38,2,67,254,316,5,146,42
2020-04-28,MIC,250,37,200,-76,1194,115,35,2,1,0,40,2,93,184,380,17,117,66
2020-04-29,MIC,278,28,230,30,1238,44,36,1,1,0,40,0,111,215,372,18,152,66
2020-04-30,MIC,313,35,246,16,1314,76,40,4,1,0,43,3,127,233,397,30,155,109
2020-05-01,MIC,345,32,216,-30,1383,69,43,3,0,-1,44,1,139,207,410,29,146,111
2020-05-02,MIC,366,21,152,-64,1484,101,44,1,1,1,45,1,142,144,470,25,84,149
2020-05-03,MIC,369,3,177,25,1512,28,46,2,1,0,45,0,135,167,455,13,89,122
2020-05-04,MIC,375,6,207,30,1561,49,49,3,1,0,46,1,108,191,427,7,115,105
2020-05-05,MIC,394,19,263,56,1602,41,51,2,3,2,48,2,112,243,415,10,162,88
2020-05-06,MIC,423,29,271,8,1652,50,52,1,1,-2,51,3,119,258,418,15,199,69
2020-05-07,MIC,473,50,295,24,1700,48,53,1,4,3,52,1,141,283,430,24,221,64
2020-05-08,MIC,504,31,294,-1,1811,111,54,1,4,0,55,3,146,286,483,35,204,117
2020-05-09,MIC,555,51,220,-74,1914,103,57,3,3,-1,58,3,174,215,517,48,162,162
2020-05-10,MIC,569,14,299,79,1914,0,61,4,3,0,59,1,152,288,462,32,191,133
2020-05-11,MIC,577,8,387,88,1914,0,65,4,3,0,65,6,139,371,400,23,220,80
2020-05-12,MIC,610,33,460,73,2048,134,67,2,5,2,67,2,156,437,480,16,290,72
2020-05-13,MIC,678,68,457,-3,2145,97,71,4,5,0,70,3,204,436,522,33,295,95
2020-05-14,MIC,718,40,573,116,2221,76,73,2,7,2,71,1,216,548,535,31,386,121
2020-05-15,MIC,768,50,672,99,2339,118,75,2,6,-1,73,2,228,627,578,47,429,192
2020-05-16,MIC,860,92,658,-14,2480,141,81,6,5,-1,80,7,290,609,674,68,464,225
2020-05-17,MIC,917,57,640,-18,2571,91,82,1,5,0,80,0,298,583,707,71,401,216
2020-05-18,MIC,934,17,692,52,2579,8,85,3,5,0,80,0,276,633,633,46,403,133
2020-05-19,MIC,1042,108,569,-123,2803,224,88,3,6,1,81,1,325,512,734,75,331,192
2020-05-21,MIC,1163,121,739,170,2995,192,101,13,6,0,84,3,353,680,808,47,456,139
2020-05-22,MIC,1249,86,717,-22,3161,166,104,3,7,1,85,1,376,655,901,43,419,188
2020-05-23,MIC,1330,81,642,-75,3311,150,109,5,8,1,85,0,411,578,963,52,367,209
2020-05-24,MIC,1368,38,655,13,3353,42,110,1,3,-5,91,6,381,579,880,54,363,179
2020-05-25,MIC,1402,34,731,76,3371,18,113,3,7,4,93,2,348,649,756,42,370,111
2020-05-26,MIC,1495,93,739,8,3551,180,126,13,10,3,101,8,376,654,819,48,406,109
2020-05-27,MIC,1613,118,694,-45,3725,174,138,12,5,-5,103,2,419,618,859,47,394,110
2020-05-28,MIC,1710,97,740,46,3834,109,146,8,4,-1,105,2,425,665,843,61,433,127
2020-05-29,MIC,1810,100,762,22,4014,180,149,3,4,0,109,4,431,682,897,79,451,194
2020-05-30,MIC,1869,59,818,56,4167,153,160,11,5,1,109,0,428,721,957,86,489,235
2020-05-31,MIC,1913,44,823,5,4207,40,162,2,5,0,109,0,423,718,908,69,444,178
2020-06-01,MIC,1950,37,895,72,4275,68,166,4,5,0,110,1,387,772,833,40,429,115
2020-06-02,MIC,2022,72,1055,160,4439,164,173,7,5,0,111,1,392,924,845,41,527,136
2020-06-03,MIC,2121,99,1114,59,4579,140,193,20,6,1,113,2,393,973,821,42,569,126
2020-06-04,MIC,2213,92,1269,155,4675,96,205,12,5,-1,118,5,411,1123,825,23,650,72
2020-06-05,MIC,2311,98,1449,180,4767,92,219,14,5,0,121,3,422,1269,810,30,753,59
2020-06-06,MIC,2325,14,1638,189,4778,11,222,3,8,3,122,1,384,1429,728,19,772,24
2020-06-07,MIC,2480,155,1515,-123,4894,116,227,5,9,1,122,0,443,1303,711,38,660,68
2020-06-08,MIC,2562,82,1516,1,5065,171,234,7,8,-1,122,0,405,1248,688,20,581,44
2020-06-09,MIC,2854,292,1269,-247,5444,379,246,12,10,2,123,1,564,1052,912,44,623,96
2020-06-10,MIC,2971,117,1501,232,5558,114,258,12,11,1,124,1,571,1271,880,32,789,62
2020-06-11,MIC,3176,205,1389,-112,5830,272,262,4,8,-3,126,2,622,1173,963,71,719,159
2020-06-12,MIC,3331,155,1483,94,6021,191,268,6,10,2,127,1,660,1266,1019,96,751,186
2020-06-13,MIC,3409,78,1672,189,6145,124,273,5,13,3,129,2,646,1441,1017,75,806,203
2020-06-14,MIC,3485,76,1584,-88,6332,187,278,5,14,1,129,0,623,1349,1095,52,698,210
2020-06-15,MIC,3602,117,1623,39,6421,89,289,11,13,-1,132,3,589,1318,971,42,671,127
2020-06-16,MIC,3666,64,1985,362,6494,73,308,19,19,6,141,9,528,1652,864,20,879,58
2020-06-17,MIC,3984,318,1759,-226,6947,453,325,17,18,-1,144,3,670,1453,1131,64,822,196
2020-06-18,MIC,4175,191,1687,-72,7266,319,342,17,19,1,147,3,727,1376,1322,65,829,278
2020-06-19,MIC,4283,108,1948,261,7463,197,355,13,20,1,152,5,697,1623,1337,70,945,273
2020-06-20,MIC,4477,194,1903,-45,7731,268,363,8,21,1,153,1,724,1557,1456,85,922,279
2020-06-21,MIC,4496,19,2037,134,7752,21,368,5,21,0,154,1,619,1666,1314,47,873,152
2020-06-22,MIC,4659,163,1862,-175,8030,278,382,14,21,0,153,-1,642,1454,1352,48,661,156
2020-06-23,MIC,4785,126,2022,160,8150,120,395,13,19,-2,156,3,621,1620,1266,33,776,95
2020-06-24,MIC,5020,235,2079,57,8516,366,410,15,22,3,162,6,696,1650,1407,55,974,153
2020-06-26,MIC,5393,373,2164,85,8896,380,431,21,13,-9,167,5,735,1820,1361,75,1098,168
2020-06-27,MIC,5478,85,2218,54,9015,119,439,8,16,3,167,0,699,1848,1246,55,969,124
2020-06-28,MIC,5506,28,2353,135,9096,81,441,2,16,0,167,0,589,1935,1101,35,931,80
