Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,MOR,48,0,75,0,256,0,7,0,0,0,3,0,25,59,88,2,15,18
2020-04-13,MOR,54,6,76,1,276,20,7,0,0,0,4,1,27,56,96,0,27,13
2020-04-14,MOR,58,4,80,4,297,21,9,2,0,0,4,0,28,62,100,3,39,11
2020-04-15,MOR,62,4,91,11,311,14,10,1,0,0,4,0,24,72,90,2,38,14
2020-04-16,MOR,65,3,99,8,331,20,10,0,0,0,4,0,23,80,92,5,42,19
2020-04-17,MOR,81,16,70,-29,331,0,10,0,0,0,4,0,36,49,104,9,24,26
2020-04-18,MOR,86,5,64,-6,342,11,11,1,0,0,4,0,35,39,105,9,13,25
2020-04-19,MOR,91,5,52,-12,348,6,12,1,0,0,4,0,34,24,106,8,3,20
2020-04-20,MOR,95,4,52,0,359,11,12,0,0,0,4,0,34,34,99,3,11,8
2020-04-21,MOR,99,4,57,5,369,10,15,3,0,0,4,0,36,51,94,2,28,7
2020-04-22,MOR,106,7,61,4,391,22,19,4,0,0,5,1,37,55,89,3,36,4
2020-04-23,MOR,123,17,53,-8,415,24,21,2,0,0,6,1,52,45,99,7,28,16
2020-04-24,MOR,146,23,61,8,424,9,25,4,0,0,6,0,66,55,93,12,45,15
2020-04-25,MOR,169,23,59,-2,434,10,26,1,0,0,9,3,84,52,86,11,37,15
2020-04-26,MOR,190,21,58,-1,445,11,28,2,0,0,9,0,100,54,84,18,39,15
2020-04-27,MOR,194,4,92,34,451,6,28,0,0,0,9,0,91,87,73,7,49,12
2020-04-28,MOR,244,50,142,50,490,39,29,1,0,0,10,1,122,133,91,10,99,7
2020-04-29,MOR,278,34,180,38,502,12,31,2,0,0,10,0,141,176,88,21,115,13
2020-04-30,MOR,324,46,165,-15,517,15,37,6,0,0,9,-1,176,161,91,37,100,21
2020-05-01,MOR,366,42,198,33,530,13,44,7,6,6,9,0,201,192,94,31,111,17
2020-05-02,MOR,417,51,181,-17,546,16,47,3,5,-1,9,0,224,173,94,37,72,15
2020-05-03,MOR,430,13,179,-2,563,17,50,3,4,-1,10,1,216,172,101,24,67,17
2020-05-04,MOR,501,71,174,-5,596,33,59,9,3,-1,13,3,232,165,94,25,77,14
2020-05-05,MOR,554,53,213,39,604,8,71,12,0,-3,13,0,261,208,90,21,123,6
2020-05-06,MOR,612,58,178,-35,634,30,76,5,0,0,14,1,282,175,107,27,102,17
2020-05-07,MOR,656,44,233,55,648,14,86,10,0,0,14,0,293,223,110,28,134,14
2020-05-08,MOR,713,57,221,-12,689,41,95,9,0,0,14,0,289,206,136,30,118,39
