Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,QUE,59,0,51,0,403,0,3,0,1,0,1,0,20,36,120,5,25,24
2020-04-13,QUE,59,0,77,26,406,3,3,0,1,0,2,1,19,62,96,3,35,15
2020-04-14,QUE,63,4,70,-7,436,30,4,1,0,-1,6,4,22,54,105,2,36,23
2020-04-15,QUE,67,4,82,12,445,9,5,1,0,0,6,0,22,63,100,5,40,21
2020-04-16,QUE,74,7,76,-6,461,16,5,0,0,0,6,0,27,60,103,11,34,21
2020-04-17,QUE,77,3,85,9,449,-12,6,1,0,0,7,1,26,69,98,10,41,19
2020-04-18,QUE,79,2,76,-9,460,11,6,0,0,0,7,0,26,62,99,10,30,26
2020-04-19,QUE,81,2,65,-11,477,17,6,0,0,0,7,0,26,52,104,6,21,24
2020-04-20,QUE,85,4,64,-1,482,5,6,0,0,0,8,1,27,53,89,7,24,20
2020-04-21,QUE,86,1,41,-23,503,21,6,0,0,0,8,0,25,34,96,6,14,23
2020-04-22,QUE,90,4,31,-10,530,27,7,1,0,0,11,3,27,28,103,2,13,26
2020-04-23,QUE,93,3,20,-11,545,15,7,0,0,0,13,2,28,19,104,4,7,26
2020-04-24,QUE,103,10,24,4,552,7,7,0,0,0,13,0,33,20,96,7,11,23
2020-04-25,QUE,109,6,22,-2,566,14,7,0,0,0,14,1,34,19,102,6,10,19
2020-04-26,QUE,111,2,26,4,569,3,9,2,0,0,16,2,30,23,89,6,15,13
2020-04-27,QUE,121,10,31,5,576,7,9,0,1,1,16,0,38,30,85,7,20,10
2020-04-28,QUE,123,2,54,23,597,21,10,1,0,-1,17,1,37,53,91,5,35,17
2020-04-29,QUE,128,5,61,7,628,31,10,0,0,0,17,0,34,57,107,4,46,23
2020-04-30,QUE,133,5,70,9,637,9,11,1,0,0,17,0,37,67,102,7,55,21
2020-05-01,QUE,146,13,35,-35,672,35,11,0,0,0,17,0,44,33,128,15,25,46
2020-05-02,QUE,151,5,48,13,678,6,13,2,0,0,17,0,42,45,119,15,33,33
2020-05-03,QUE,157,6,47,-1,692,14,14,1,0,0,17,0,45,44,120,12,32,32
2020-05-04,QUE,165,8,46,-1,704,12,15,1,0,0,17,0,48,43,114,12,29,21
2020-05-05,QUE,167,2,55,9,716,12,17,2,0,0,19,2,47,52,115,9,40,21
2020-05-06,QUE,179,12,64,9,725,9,17,0,0,0,20,1,48,60,114,13,50,17
2020-05-07,QUE,193,14,63,-1,735,10,18,1,1,1,21,1,59,60,108,20,44,19
2020-05-08,QUE,208,15,61,-2,747,12,18,0,1,0,21,0,73,58,110,21,44,16
2020-05-09,QUE,218,10,74,13,771,24,18,0,1,0,22,1,76,71,116,24,60,25
2020-05-10,QUE,232,14,72,-2,799,28,18,0,1,0,22,0,80,72,114,31,60,27
2020-05-11,QUE,252,20,90,18,812,13,21,3,1,0,23,1,93,86,106,44,74,29
2020-05-12,QUE,273,21,107,17,837,25,23,2,1,0,24,1,110,105,120,42,86,43
2020-05-13,QUE,315,42,99,-8,854,17,24,1,1,0,26,2,147,94,125,68,82,46
2020-05-14,QUE,341,26,144,45,876,22,27,3,3,2,28,2,162,137,136,64,120,49
2020-05-16,QUE,396,55,205,61,930,54,31,4,2,-1,33,5,193,199,162,56,166,69
