Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,ROO,226,0,203,0,408,0,19,0,6,0,10,0,86,132,93,9,46,14
2020-04-13,ROO,242,16,206,3,419,11,22,3,7,1,14,4,86,126,92,9,35,9
2020-04-14,ROO,248,6,203,-3,442,23,25,3,7,0,18,4,83,125,89,2,50,7
2020-04-15,ROO,272,24,182,-21,466,24,27,2,6,-1,19,1,94,95,91,3,52,9
2020-04-16,ROO,279,7,191,9,475,9,28,1,7,1,18,-1,86,103,79,6,49,9
2020-04-17,ROO,282,3,235,44,433,-42,31,3,6,-1,20,2,74,145,69,2,69,11
2020-04-18,ROO,317,35,193,-42,453,20,31,0,5,-1,21,1,94,108,74,11,42,11
2020-04-19,ROO,325,8,187,-6,461,8,31,0,5,0,21,0,80,97,66,9,32,10
2020-04-20,ROO,364,39,152,-35,484,23,34,3,4,-1,22,1,95,70,68,15,33,9
2020-04-21,ROO,398,34,89,-63,495,11,47,13,0,-4,21,-1,102,80,68,13,50,5
2020-04-22,ROO,432,34,72,-17,578,83,56,9,1,1,24,3,111,71,75,16,45,10
2020-04-23,ROO,468,36,58,-14,594,16,61,5,1,0,26,2,121,58,76,19,42,15
2020-04-24,ROO,519,51,57,-1,610,16,72,11,0,-1,27,1,146,57,73,22,39,10
2020-04-25,ROO,550,31,57,0,623,13,77,5,0,0,27,0,144,57,68,18,31,11
2020-04-26,ROO,604,54,78,21,632,9,80,3,0,0,28,1,162,76,69,18,38,5
2020-04-27,ROO,653,49,146,68,652,20,86,6,2,2,28,0,178,139,72,14,60,10
2020-04-28,ROO,698,45,181,35,667,15,91,5,1,-1,28,0,185,166,70,10,85,8
2020-04-29,ROO,711,13,232,51,672,5,109,18,5,4,33,5,172,201,64,10,104,8
2020-04-30,ROO,788,77,208,-24,691,19,116,7,3,-2,34,1,209,175,71,30,105,11
2020-05-01,ROO,830,42,147,-61,722,31,118,2,2,-1,35,1,215,130,78,36,81,16
2020-05-02,ROO,889,59,89,-58,750,28,118,0,3,1,35,0,225,78,91,45,42,25
2020-05-03,ROO,911,22,94,5,762,12,120,2,5,2,35,0,222,84,88,32,44,25
2020-05-04,ROO,922,11,140,46,766,4,121,1,7,2,36,1,187,118,78,24,66,16
2020-05-05,ROO,955,33,142,2,769,3,144,23,9,2,39,3,190,122,76,19,72,9
2020-05-06,ROO,980,25,166,24,781,12,160,16,7,-2,41,2,188,151,82,17,100,9
2020-05-07,ROO,999,19,183,17,798,17,169,9,10,3,42,1,181,170,86,23,114,14
2020-05-08,ROO,1032,33,176,-7,826,28,177,8,12,2,43,1,194,168,98,27,108,20
2020-05-09,ROO,1071,39,150,-26,858,32,184,7,10,-2,46,3,195,139,120,34,80,34
2020-05-10,ROO,1081,10,166,16,858,0,185,1,9,-1,48,2,173,156,108,28,93,24
2020-05-11,ROO,1118,37,139,-27,895,37,193,8,9,0,51,3,181,125,130,27,72,43
2020-05-12,ROO,1144,26,178,39,903,8,211,18,9,0,53,2,177,162,122,30,106,32
2020-05-13,ROO,1177,33,160,-18,930,27,222,11,9,0,57,4,184,154,138,34,106,35
2020-05-14,ROO,1227,50,163,3,958,28,229,7,10,1,62,5,218,143,157,51,106,39
2020-05-15,ROO,1257,30,179,16,984,26,234,5,11,1,64,2,218,151,164,43,116,43
2020-05-16,ROO,1289,32,181,2,1020,36,242,8,12,1,66,2,215,110,185,39,71,51
2020-05-17,ROO,1315,26,178,-3,1031,11,246,4,13,1,66,0,214,107,183,27,59,39
2020-05-18,ROO,1346,31,184,6,1069,38,253,7,13,0,67,1,197,112,197,23,76,37
2020-05-19,ROO,1365,19,210,26,1093,24,263,10,15,2,70,3,198,135,199,20,102,34
2020-05-21,ROO,1450,85,220,10,1152,59,281,18,14,-1,74,4,221,146,211,36,102,50
2020-05-22,ROO,1530,80,194,-26,1170,18,284,3,17,3,76,2,220,160,210,40,111,49
2020-05-23,ROO,1580,50,159,-35,1206,36,289,5,16,-1,79,3,226,126,217,45,93,51
2020-05-24,ROO,1609,29,157,-2,1225,19,292,3,10,-6,87,8,218,128,196,47,91,36
2020-05-25,ROO,1641,32,152,-5,1261,36,294,2,10,0,89,2,234,121,197,40,89,39
2020-05-26,ROO,1683,42,186,34,1295,34,304,10,9,-1,92,3,248,153,210,33,111,53
2020-05-27,ROO,1729,46,180,-6,1314,19,323,19,10,1,96,4,254,146,212,39,96,47
2020-05-28,ROO,1776,47,180,0,1348,34,337,14,8,-2,97,1,275,143,222,47,107,46
2020-05-29,ROO,1815,39,178,-2,1379,31,341,4,10,2,101,4,281,139,229,54,107,49
2020-05-30,ROO,1850,35,211,33,1409,30,347,6,10,0,104,3,285,170,232,50,132,54
2020-05-31,ROO,1882,32,187,-24,1437,28,352,5,8,-2,104,0,289,146,228,43,112,53
2020-06-01,ROO,1926,44,177,-10,1463,26,355,3,9,1,106,2,284,133,232,47,80,50
2020-06-02,ROO,1956,30,208,31,1498,35,363,8,8,-1,108,2,268,163,246,46,123,39
2020-06-03,ROO,2010,54,230,22,1524,26,393,30,2,-6,113,5,268,189,246,41,151,29
2020-06-04,ROO,2072,62,211,-19,1568,44,401,8,2,0,118,5,301,169,258,61,138,47
2020-06-05,ROO,2116,44,207,-4,1605,37,411,10,1,-1,124,6,313,163,268,62,133,58
2020-06-06,ROO,2161,45,162,-45,1651,46,418,7,1,0,126,2,323,118,289,61,99,72
2020-06-07,ROO,2179,18,169,7,1669,18,418,0,2,1,127,1,303,123,272,47,99,54
2020-06-08,ROO,2197,18,205,36,1696,27,422,4,4,2,128,1,271,152,256,27,114,48
2020-06-09,ROO,2235,38,243,38,1720,24,441,19,5,1,130,2,285,191,243,22,155,48
2020-06-10,ROO,2283,48,245,2,1772,52,447,6,7,2,132,2,284,193,261,37,161,71
2020-06-11,ROO,2329,46,276,31,1812,40,455,8,7,0,136,4,289,221,282,58,176,87
2020-06-12,ROO,2384,55,271,-5,1869,57,458,3,5,-2,137,1,303,217,314,66,175,93
2020-06-13,ROO,2443,59,256,-15,1910,41,464,6,2,-3,140,3,319,205,324,70,168,68
2020-06-14,ROO,2505,62,201,-55,1968,58,467,3,3,1,141,1,344,147,345,82,104,94
2020-06-15,ROO,2512,7,284,83,1979,11,474,7,4,1,143,2,300,225,317,46,160,63
2020-06-16,ROO,2562,50,316,32,2033,54,487,13,4,0,150,7,312,256,343,40,204,70
2020-06-17,ROO,2659,97,295,-21,2068,35,498,11,5,1,152,2,380,234,349,72,189,55
2020-06-18,ROO,2736,77,319,24,2114,46,500,2,7,2,152,0,425,259,365,79,212,69
2020-06-19,ROO,2795,59,329,10,2174,60,507,7,6,-1,153,1,442,267,373,85,207,89
2020-06-20,ROO,2855,60,296,-33,2244,70,510,3,7,1,153,0,455,230,381,89,183,105
2020-06-21,ROO,2946,91,202,-94,2291,47,515,5,5,-2,153,0,488,133,399,112,95,113
2020-06-22,ROO,2970,24,313,111,2310,19,518,3,5,0,155,2,448,240,369,75,186,86
2020-06-23,ROO,3011,41,442,129,2328,18,524,6,8,3,157,2,443,359,351,62,291,48
2020-06-24,ROO,3143,132,436,-6,2388,60,535,11,5,-3,161,4,515,349,361,116,296,70
2020-06-26,ROO,3303,160,497,61,2562,174,552,17,9,4,168,7,554,404,447,126,335,147
2020-06-27,ROO,3399,96,456,-41,2644,82,557,5,6,-3,171,3,591,358,486,107,244,116
2020-06-28,ROO,3437,38,456,0,2702,58,563,6,6,0,172,1,577,354,500,89,226,90
