Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,SLP,52,0,146,0,730,0,4,0,0,0,14,0,14,97,254,0,57,62
2020-04-13,SLP,54,2,102,-44,799,69,4,0,0,0,16,2,15,73,269,1,41,57
2020-04-14,SLP,54,0,115,13,842,43,4,0,0,0,17,1,11,109,252,1,76,43
2020-04-15,SLP,55,1,129,14,875,33,4,0,0,0,18,1,11,118,252,1,73,47
2020-04-16,SLP,55,0,108,-21,913,38,4,0,0,0,18,0,8,99,275,1,66,53
2020-04-17,SLP,57,2,108,0,925,12,4,0,0,0,18,0,7,97,286,1,63,59
2020-04-18,SLP,58,1,103,-5,948,23,4,0,0,0,18,0,6,89,280,1,57,64
2020-04-19,SLP,62,4,79,-24,984,36,4,0,0,0,18,0,9,64,279,3,43,64
2020-04-20,SLP,65,3,82,3,1002,18,4,0,2,2,18,0,10,66,251,3,39,47
2020-04-21,SLP,66,1,80,-2,1021,19,5,1,2,0,20,2,10,71,239,1,42,41
2020-04-22,SLP,67,1,63,-17,1096,75,5,0,1,-1,24,4,9,56,255,0,36,51
2020-04-23,SLP,72,5,46,-17,1127,31,6,1,0,-1,24,0,13,44,260,1,34,52
2020-04-24,SLP,72,0,62,16,1159,32,6,0,0,0,29,5,11,60,248,1,53,53
2020-04-25,SLP,75,3,65,3,1206,47,6,0,1,1,29,0,14,64,275,3,54,81
2020-04-26,SLP,78,3,43,-22,1257,51,6,0,2,1,29,0,16,41,299,5,35,100
2020-04-27,SLP,83,5,57,14,1289,32,6,0,2,0,30,1,18,54,289,5,44,87
2020-04-28,SLP,85,2,92,35,1330,41,7,1,3,1,33,3,15,88,289,3,66,76
2020-04-29,SLP,98,13,96,4,1379,49,7,0,1,-2,35,2,27,92,308,8,74,73
2020-04-30,SLP,108,10,123,27,1412,33,7,0,2,1,35,0,36,117,308,16,96,52
2020-05-01,SLP,121,13,109,-14,1476,64,9,2,1,-1,35,0,47,107,348,24,82,81
2020-05-02,SLP,131,10,94,-15,1527,51,9,0,3,2,35,0,56,92,376,21,68,100
2020-05-03,SLP,146,15,67,-27,1576,49,9,0,1,-2,36,1,71,66,388,26,51,93
2020-05-04,SLP,157,11,83,16,1604,28,10,1,2,1,36,0,74,82,370,18,60,80
2020-05-05,SLP,167,10,110,27,1632,28,10,0,4,2,37,1,78,109,349,18,84,65
2020-05-06,SLP,187,20,96,-14,1693,61,11,1,5,1,40,3,96,93,355,28,71,84
2020-05-07,SLP,204,17,139,43,1732,39,12,1,4,-1,43,3,110,137,342,27,118,86
2020-05-08,SLP,227,23,148,9,1777,45,13,1,3,-1,43,0,127,146,351,32,125,92
2020-05-09,SLP,237,10,206,58,1807,30,14,1,0,-3,43,0,120,206,353,26,170,74
2020-05-10,SLP,264,27,159,-47,1898,91,14,0,0,0,43,0,137,158,398,32,136,107
2020-05-11,SLP,278,14,136,-23,1955,57,14,0,0,0,43,0,132,134,410,23,107,120
2020-05-12,SLP,308,30,172,36,2016,61,16,2,1,1,45,2,143,158,430,29,130,128
2020-05-13,SLP,338,30,176,4,2114,98,19,3,2,1,46,1,164,163,480,37,129,134
2020-05-14,SLP,363,25,257,81,2188,74,20,1,0,-2,48,2,172,216,522,30,171,152
2020-05-15,SLP,399,36,233,-24,2321,133,20,0,0,0,49,1,180,211,573,35,170,156
2020-05-16,SLP,426,27,231,-2,2431,110,21,1,1,1,49,0,194,201,619,38,163,187
2020-05-17,SLP,454,28,179,-52,2525,94,23,2,1,0,50,1,200,156,662,36,107,179
2020-05-18,SLP,480,26,157,-22,2584,59,24,1,1,0,51,1,195,135,673,31,94,158
2020-05-19,SLP,492,12,170,13,2662,78,24,0,4,3,51,0,179,162,668,28,118,147
2020-05-21,SLP,558,66,205,35,2821,159,26,2,1,-3,54,3,194,191,681,40,127,161
2020-05-22,SLP,595,37,186,-19,2905,84,26,0,1,0,54,0,198,169,685,40,122,168
2020-05-23,SLP,640,45,181,-5,2969,64,26,0,1,0,55,1,215,162,683,52,128,174
2020-05-24,SLP,692,52,136,-45,3038,69,36,10,1,0,61,6,234,114,641,69,81,180
2020-05-25,SLP,692,0,169,33,3083,45,40,4,2,1,63,2,214,148,603,46,116,125
2020-05-26,SLP,734,42,212,43,3154,71,41,1,2,0,68,5,238,190,601,55,158,115
2020-05-27,SLP,786,52,249,37,3260,106,46,5,3,1,69,1,266,225,633,62,183,164
2020-05-28,SLP,815,29,312,63,3354,94,49,3,1,-2,72,3,260,286,653,62,231,197
2020-05-29,SLP,850,35,267,-45,3457,103,49,0,2,1,72,0,263,240,686,56,189,204
2020-05-30,SLP,882,32,267,0,3536,79,50,1,1,-1,73,1,275,242,713,54,164,214
2020-05-31,SLP,931,49,241,-26,3598,62,51,1,1,0,73,0,298,209,709,59,127,196
2020-06-01,SLP,957,26,258,17,3661,63,54,3,1,0,74,1,291,223,678,54,116,141
