Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,VER,82,0,400,0,826,0,3,0,2,0,28,0,32,227,224,7,94,30
2020-04-13,VER,88,6,391,-9,890,64,3,0,4,2,31,3,34,203,239,6,97,32
2020-04-14,VER,100,12,427,36,906,16,5,2,5,1,33,2,42,231,211,8,115,21
2020-04-15,VER,114,14,449,22,956,50,6,1,2,-3,34,1,53,240,216,8,135,27
2020-04-16,VER,121,7,479,30,994,38,6,0,4,2,36,2,51,281,212,10,154,32
2020-04-17,VER,130,9,497,18,937,-57,7,1,7,3,36,0,55,340,182,12,185,27
2020-04-18,VER,135,5,484,-13,943,6,8,1,5,-2,38,2,56,345,162,10,163,18
2020-04-19,VER,161,26,393,-91,1024,81,9,1,4,-1,39,1,72,259,206,11,127,29
2020-04-20,VER,171,10,384,-9,1043,19,13,4,8,4,40,1,71,251,189,8,97,23
2020-04-21,VER,179,8,285,-99,1056,13,14,1,7,-1,39,-1,69,254,171,4,78,17
2020-04-22,VER,212,33,235,-50,1216,160,19,5,4,-3,42,3,85,208,191,8,75,21
2020-04-23,VER,250,38,190,-45,1286,70,22,3,3,-1,44,2,105,175,227,4,91,28
2020-04-24,VER,288,38,175,-15,1352,66,24,2,1,-2,48,4,118,163,245,10,113,25
2020-04-25,VER,319,31,179,4,1405,53,25,1,2,1,48,0,122,164,263,13,100,36
2020-04-26,VER,354,35,188,9,1457,52,27,2,3,1,48,0,133,172,288,21,104,42
2020-04-27,VER,423,69,233,45,1564,107,33,6,6,3,58,10,172,221,343,23,122,53
2020-04-28,VER,465,42,335,102,1622,58,40,7,7,1,60,2,192,322,341,20,181,40
2020-04-29,VER,514,49,401,66,1657,35,44,4,5,-2,63,3,209,388,328,28,227,37
2020-04-30,VER,575,61,432,31,1708,51,53,9,7,2,66,3,241,406,341,43,233,42
2020-05-01,VER,617,42,455,23,1744,36,57,4,9,2,68,2,253,430,321,31,256,33
2020-05-02,VER,672,55,409,-46,1808,64,60,3,7,-2,69,1,266,389,334,30,212,32
2020-05-03,VER,705,33,394,-15,1853,45,65,5,11,4,70,1,273,376,316,28,200,32
2020-05-04,VER,803,98,376,-18,1911,58,69,4,14,3,72,2,298,352,308,31,184,27
2020-05-05,VER,836,33,488,112,1924,13,79,10,17,3,76,4,289,460,266,15,234,15
2020-05-06,VER,872,36,563,75,1954,30,83,4,14,-3,82,6,287,530,249,15,282,15
2020-05-07,VER,959,87,604,41,2000,46,98,15,14,0,84,2,329,567,244,37,278,23
2020-05-08,VER,1049,90,651,47,2043,43,111,13,15,1,89,5,352,615,254,36,304,26
2020-05-09,VER,1155,106,639,-12,2096,53,120,9,18,3,90,1,386,608,250,42,299,23
2020-05-10,VER,1205,50,634,-5,2128,32,123,3,22,4,97,7,388,600,242,32,260,26
2020-05-11,VER,1352,147,544,-90,2197,69,135,12,21,-1,99,2,451,503,251,65,228,41
2020-05-12,VER,1497,145,536,-8,2252,55,155,20,13,-8,105,6,508,504,262,40,268,37
2020-05-13,VER,1574,77,550,14,2286,34,167,12,17,4,107,2,514,515,264,32,294,31
2020-05-14,VER,1666,92,644,94,2349,63,197,30,21,4,118,11,514,595,284,40,349,30
2020-05-15,VER,1700,34,813,169,2368,19,224,27,29,8,119,1,445,744,257,33,409,27
2020-05-16,VER,1805,105,895,82,2417,49,235,11,29,0,121,2,456,813,266,24,422,26
2020-05-17,VER,1925,120,874,-21,2455,38,239,4,30,1,121,0,492,778,268,27,374,22
2020-05-18,VER,2039,114,842,-32,2514,59,245,6,31,1,122,1,508,742,287,26,331,25
2020-05-19,VER,2218,179,893,51,2574,60,267,22,49,18,126,4,573,767,293,40,407,18
2020-05-21,VER,2430,212,1137,244,2660,86,299,32,53,4,133,7,590,975,282,36,542,34
2020-05-22,VER,2601,171,1157,20,2769,109,341,42,59,6,140,7,632,988,330,46,518,56
2020-05-23,VER,2689,88,1178,21,2818,49,351,10,61,2,141,1,602,982,329,41,465,59
2020-05-24,VER,2769,80,1185,7,2858,40,375,24,38,-23,156,15,547,984,296,29,425,36
2020-05-25,VER,2944,175,1060,-125,2961,103,383,8,35,-3,159,3,600,819,344,47,297,55
2020-05-26,VER,3258,314,935,-125,3091,130,428,45,33,-2,164,5,729,710,418,60,332,54
2020-05-27,VER,3374,116,1142,207,3135,44,444,16,38,5,170,6,714,866,421,55,455,40
2020-05-28,VER,3470,96,1335,193,3180,45,476,32,44,6,174,4,696,1034,415,46,555,31
2020-05-29,VER,3562,92,1443,108,3204,24,512,36,55,11,177,3,629,1089,384,38,561,29
2020-05-30,VER,3624,62,1508,65,3256,52,524,12,56,1,183,6,583,1134,344,32,504,31
2020-05-31,VER,3716,92,1527,19,3270,14,535,11,61,5,186,3,542,1135,300,25,425,19
2020-06-01,VER,4008,292,1350,-177,3403,133,555,20,54,-7,193,7,634,945,338,39,348,34
2020-06-02,VER,4311,303,1336,-14,3465,62,600,45,65,11,196,3,730,979,336,30,450,25
2020-06-03,VER,4367,56,1584,248,3477,12,666,66,66,1,202,6,633,1180,288,11,546,14
2020-06-04,VER,4586,219,1554,-30,3574,97,701,35,67,1,210,8,728,1129,334,54,513,48
2020-06-05,VER,4871,285,1542,-12,3693,119,741,40,65,-2,216,6,778,1124,373,72,571,60
2020-06-06,VER,5007,136,1599,57,3764,71,768,27,60,-5,221,5,744,1143,394,73,574,62
2020-06-07,VER,5136,129,1574,-25,3793,29,770,2,66,6,221,0,727,1092,363,55,514,45
2020-06-08,VER,5283,147,1599,25,3859,66,794,24,61,-5,225,4,663,1089,359,42,452,25
2020-06-09,VER,5529,246,1625,26,3984,125,837,43,59,-2,235,10,712,1159,406,38,556,28
2020-06-10,VER,5751,222,1706,81,4083,99,892,55,48,-11,244,9,756,1241,441,26,668,30
2020-06-11,VER,5913,162,1790,84,4180,97,934,42,53,5,250,6,757,1323,478,38,712,41
2020-06-12,VER,6133,220,1788,-2,4283,103,962,28,49,-4,256,6,824,1315,499,42,696,47
2020-06-13,VER,6245,112,1864,76,4343,60,999,37,62,13,262,6,766,1353,489,47,652,53
2020-06-14,VER,6550,305,1592,-272,4481,138,1038,39,51,-11,264,2,876,1117,522,52,560,60
2020-06-15,VER,6754,204,1582,-10,4598,117,1066,28,45,-6,267,3,866,1091,502,37,573,51
2020-06-16,VER,6973,219,1731,149,4665,67,1117,51,45,0,273,6,921,1223,488,52,676,45
2020-06-17,VER,7235,262,1760,29,4802,137,1151,34,50,5,283,10,1003,1230,540,69,698,45
2020-06-18,VER,7400,165,1966,206,4877,75,1188,37,56,6,286,3,992,1437,528,74,833,44
2020-06-19,VER,7588,188,2112,146,4942,65,1224,36,53,-3,295,9,973,1562,508,80,846,50
2020-06-20,VER,7780,192,2099,-13,5048,106,1246,22,58,5,297,2,975,1515,531,68,759,57
2020-06-21,VER,8129,349,1789,-310,5217,169,1274,28,55,-3,299,2,1148,1211,604,112,609,89
2020-06-22,VER,8420,291,1675,-114,5312,95,1294,20,42,-13,303,4,1193,1090,598,66,530,72
2020-06-23,VER,8662,242,1796,121,5446,134,1362,68,39,-3,311,8,1219,1240,621,74,656,58
2020-06-24,VER,8840,178,1965,169,5525,79,1403,41,41,2,316,5,1155,1381,586,64,794,38
2020-06-25,VER,9161,321,2041,76,5638,113,1426,23,47,6,317,1,1298,1448,616,113,859,57
2020-06-26,VER,9520,359,1992,-49,5795,157,1460,34,49,2,322,5,1380,1393,662,141,802,87
2020-06-27,VER,9696,176,2128,136,5860,65,1488,28,49,0,323,1,1308,1517,624,80,762,53
2020-06-28,VER,9812,116,2150,22,5908,48,1508,20,55,6,325,2,1223,1525,583,48,729,41
2020-06-29,VER,9973,161,2286,136,5959,51,1553,45,69,14,327,2,1089,1603,507,51,667,34
2020-06-30,VER,10173,200,2539,253,6048,89,1578,25,75,6,331,4,1071,1817,478,39,858,28
2020-07-01,VER,10518,345,2563,24,6198,150,1625,47,76,1,342,11,1194,1823,538,67,910,60
2020-07-02,VER,10671,153,2901,338,6282,84,1666,41,73,-3,350,8,1102,2125,534,43,1080,32
2020-07-03,VER,10894,223,3123,222,6366,84,1689,23,87,14,355,5,1056,2307,511,59,1101,27
2020-07-04,VER,11477,583,2672,-451,6630,264,1753,64,66,-21,364,9,1228,1903,596,91,1049,44
2020-07-05,VER,11571,94,2752,80,6685,55,1758,5,65,-1,365,1,1128,1953,572,39,926,27
2020-07-06,VER,11979,408,2656,-96,6812,127,1779,21,54,-11,372,7,1216,1841,565,50,872,28
2020-07-07,VER,12341,362,2731,75,6954,142,1836,57,62,8,376,4,1343,1918,598,65,894,41
2020-07-08,VER,12739,398,2770,39,7126,172,1879,43,71,9,386,10,1437,1969,675,47,1014,15
2020-07-09,VER,13032,293,2917,147,7237,111,1924,45,67,-4,398,12,1444,2109,640,59,1090,19
2020-07-10,VER,13293,261,3135,218,7348,111,1962,38,83,16,407,9,1388,2300,594,51,1175,30
2020-07-11,VER,13610,317,3115,-20,7490,142,1979,17,87,4,407,0,1418,2262,646,62,1103,38
2020-07-12,VER,13782,172,3169,54,7542,52,1998,19,79,-8,409,2,1277,2258,571,36,944,21
2020-07-13,VER,14039,257,3226,57,7652,110,2022,24,82,3,410,1,1248,2264,540,30,855,20
2020-07-14,VER,14594,555,3026,-200,7931,279,2061,39,88,6,416,6,1455,2050,674,41,910,44
2020-07-15,VER,15073,479,2904,-122,8049,118,2094,33,81,-7,422,6,1525,1926,645,48,959,34
2020-07-16,VER,15376,303,3009,105,8200,151,2136,42,83,2,428,6,1528,1993,694,56,980,53
2020-07-17,VER,15901,525,2910,-99,8407,207,2170,34,80,-3,432,4,1657,1904,790,92,907,69
2020-07-18,VER,16339,438,2939,29,8513,106,2193,23,77,-3,437,5,1759,1861,767,112,915,66
2020-07-19,VER,16795,456,2649,-290,8669,156,2200,7,74,-3,439,2,1844,1556,775,156,717,92
2020-07-20,VER,17172,377,2422,-227,8828,159,2224,24,76,2,442,3,1833,1308,780,140,556,78
2020-07-21,VER,17406,234,2783,361,8925,97,2304,80,81,5,448,6,1729,1641,749,84,827,57
2020-07-22,VER,17610,204,3109,326,8989,64,2343,39,96,15,454,6,1625,1943,699,42,996,45
2020-07-23,VER,18065,455,3173,64,9144,155,2383,40,95,-1,461,7,1652,2059,724,61,1133,54
2020-07-24,VER,18463,398,3221,48,9274,130,2468,85,97,2,471,10,1615,2047,694,99,1100,65
2020-07-25,VER,18687,224,3513,292,9368,94,2524,56,95,-2,476,5,1531,2289,680,84,1021,53
2020-07-26,VER,18974,287,3384,-129,9513,145,2547,23,86,-9,480,4,1481,2140,707,55,880,49
2020-07-27,VER,19535,561,2981,-403,9751,238,2560,13,84,-2,483,3,1650,1704,774,106,589,69
2020-07-28,VER,20009,474,2945,-36,9935,184,2661,101,93,9,502,19,1772,1642,848,79,742,51
