Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,ZAC,16,0,50,0,244,0,2,0,1,0,4,0,6,39,68,0,25,5
2020-04-13,ZAC,17,1,57,7,249,5,2,0,1,0,6,2,7,47,64,1,26,2
2020-04-14,ZAC,18,1,62,5,257,8,2,0,0,-1,7,1,6,55,57,2,24,1
2020-04-15,ZAC,19,1,80,18,265,8,2,0,0,0,8,1,6,75,41,1,33,2
2020-04-16,ZAC,18,-1,58,-22,295,30,2,0,0,0,8,0,5,53,56,2,30,3
2020-04-17,ZAC,23,5,61,3,292,-3,2,0,0,0,9,1,8,56,62,2,29,7
2020-04-18,ZAC,27,4,52,-9,309,17,2,0,0,0,9,0,12,46,72,2,20,11
2020-04-19,ZAC,28,1,51,-1,311,2,2,0,0,0,9,0,13,44,60,1,14,8
2020-04-20,ZAC,32,4,35,-16,335,24,2,0,0,0,10,1,17,28,73,0,16,11
2020-04-21,ZAC,33,1,43,8,343,8,3,1,0,0,11,1,17,40,66,0,27,11
2020-04-22,ZAC,44,11,26,-17,374,31,3,0,0,0,11,0,22,24,83,5,16,26
2020-04-23,ZAC,48,4,28,2,397,23,3,0,0,0,11,0,24,25,99,2,20,31
2020-04-24,ZAC,51,3,27,-1,427,30,4,1,0,0,12,1,22,25,118,4,21,43
2020-04-25,ZAC,58,7,30,3,460,33,4,0,0,0,12,0,25,28,137,5,25,49
2020-04-26,ZAC,66,8,37,7,475,15,4,0,0,0,12,0,31,35,142,7,31,45
2020-04-27,ZAC,66,0,76,39,489,14,4,0,0,0,13,1,29,75,148,4,62,31
2020-04-28,ZAC,68,2,90,14,527,38,7,3,0,0,13,0,29,88,176,3,75,38
2020-04-29,ZAC,70,2,78,-12,559,32,7,0,0,0,15,2,30,75,198,3,63,49
2020-04-30,ZAC,77,7,55,-23,601,42,8,1,0,0,15,0,30,52,224,6,45,77
2020-05-01,ZAC,87,10,42,-13,623,22,8,0,0,0,15,0,38,39,229,11,32,69
2020-05-02,ZAC,94,7,32,-10,637,14,10,2,0,0,15,0,40,29,218,17,18,54
2020-05-03,ZAC,99,5,41,9,643,6,13,3,0,0,15,0,39,38,204,17,31,26
2020-05-04,ZAC,110,11,42,1,659,16,15,2,1,1,16,1,45,39,180,11,35,21
2020-05-05,ZAC,113,3,57,15,667,8,17,2,0,-1,17,1,46,55,169,7,50,27
