"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-04","AGU",0,,,0,
"2020-03-04","BCN",0,,,0,
"2020-03-04","BCS",0,,,0,
"2020-03-04","CAM",0,,,0,
"2020-03-04","CHH",0,,,0,
"2020-03-04","CHP",1,,,0,
"2020-03-04","CMX",2,,,0,
"2020-03-04","COA",1,,,0,
"2020-03-04","COL",0,,,0,
"2020-03-04","DUR",0,,,0,
"2020-03-04","GRO",0,,,0,
"2020-03-04","GUA",0,,,0,
"2020-03-04","HID",0,,,0,
"2020-03-04","JAL",0,,,0,
"2020-03-04","MEX",0,,,0,
"2020-03-04","MIC",0,,,0,
"2020-03-04","MOR",0,,,0,
"2020-03-04","NAY",0,,,0,
"2020-03-04","NLE",0,,,0,
"2020-03-04","OAX",0,,,0,
"2020-03-04","PUE",0,,,0,
"2020-03-04","QUE",0,,,0,
"2020-03-04","ROO",0,,,0,
"2020-03-04","SIN",1,,,0,
"2020-03-04","SLP",0,,,0,
"2020-03-04","SON",0,,,0,
"2020-03-04","TAB",0,,,0,
"2020-03-04","TAM",0,,,0,
"2020-03-04","TLA",0,,,0,
"2020-03-04","VER",0,,,0,
"2020-03-04","YUC",0,,,0,
"2020-03-04","ZAC",0,,,0,
