Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-06-06,AGU,1117,31,202,8,3967,34,51,3,0,0,19,1,333,190,525,103,162,109
2020-06-06,BCN,6059,192,991,-104,3531,109,1230,30,72,-8,272,9,622,646,511,99,328,120
2020-06-06,BCS,735,19,185,42,1711,42,43,2,2,0,20,1,126,167,334,28,131,121
2020-06-06,CAM,826,39,150,-28,1073,41,105,2,1,0,36,0,125,128,276,13,64,29
2020-06-06,CHH,1826,22,1586,0,2217,10,383,7,87,-2,179,3,79,676,137,1,236,7
2020-06-06,CHP,2422,203,467,-142,1485,72,192,16,25,-5,37,2,693,365,216,50,203,36
2020-06-06,CMX,36534,849,10003,-308,42227,1064,3696,65,395,46,868,31,5090,6464,6517,811,3714,1397
2020-06-06,COA,1432,75,3748,8,6782,353,92,1,23,3,128,1,278,2674,725,27,1335,107
2020-06-06,COL,202,9,67,3,507,12,30,1,1,0,34,1,53,64,79,13,52,14
2020-06-06,DUR,556,27,360,-8,2309,118,53,4,2,0,23,1,235,311,727,70,217,209
2020-06-06,GRO,2336,91,1468,18,1808,80,360,13,111,3,151,3,197,1121,111,0,301,0
2020-06-06,GUA,2422,113,1397,117,11637,194,136,2,9,1,106,4,958,1248,1622,171,1000,346
2020-06-06,HID,2171,70,292,-25,1655,52,394,8,6,-1,74,2,464,246,304,74,140,92
2020-06-06,JAL,2679,205,1553,-243,11526,403,229,16,13,5,259,12,1065,1375,1957,210,1068,415
2020-06-06,MEX,11957,156,6473,128,14908,188,1548,17,172,1,438,16,1563,4831,1608,69,2475,111
2020-06-06,MIC,2368,12,1658,203,4768,8,223,3,7,3,123,3,389,1446,721,18,777,20
2020-06-06,MOR,1508,33,187,-16,1397,18,296,1,6,1,38,0,245,139,187,40,97,38
2020-06-06,NAY,721,29,115,13,1150,17,85,4,0,-2,51,2,205,108,217,41,91,65
2020-06-06,NLE,1807,41,4411,238,11571,200,126,17,3,1,85,6,397,3935,769,93,1848,205
2020-06-06,OAX,2062,92,742,-29,1805,75,224,9,22,-1,72,0,488,547,371,53,319,96
2020-06-06,PUE,4068,210,2011,5,5119,180,553,28,39,8,164,9,851,1266,1095,185,609,300
2020-06-06,QUE,1232,51,186,-31,1764,36,145,6,4,0,68,4,275,125,289,65,90,64
2020-06-06,ROO,2151,46,157,-48,1628,46,418,7,1,0,119,2,324,114,284,62,97,72
2020-06-06,SIN,4421,168,1431,56,3566,33,684,11,55,9,168,1,640,1119,270,58,530,26
2020-06-06,SLP,1198,67,418,27,4126,56,65,3,3,0,82,1,317,366,729,72,260,143
2020-06-06,SON,2755,139,2680,100,2922,60,176,11,44,3,78,3,437,1737,314,6,647,6
2020-06-06,TAB,5317,226,1054,-280,5880,357,640,14,8,-3,92,1,1010,820,1479,181,476,385
2020-06-06,TAM,2103,129,2106,-230,6817,361,148,8,12,-1,105,0,408,1659,1414,42,1236,249
2020-06-06,TLA,1290,58,326,-62,2305,58,186,3,3,-2,39,2,222,267,338,37,161,65
2020-06-06,VER,4884,129,1549,62,3641,67,748,27,61,-5,211,6,735,1111,375,71,546,61
2020-06-06,YUC,2097,40,195,-16,3288,17,208,1,2,1,115,2,368,91,530,70,61,88
2020-06-06,ZAC,363,22,105,-7,1344,24,44,1,0,0,46,0,86,98,179,31,95,38
