"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-24","AGU",6,37,,0,
"2020-03-24","BCN",13,95,,0,
"2020-03-24","BCS",2,20,,0,
"2020-03-24","CAM",2,1,,0,
"2020-03-24","CHH",6,6,,0,
"2020-03-24","CHP",2,6,,0,
"2020-03-24","CMX",66,231,,3,
"2020-03-24","COA",12,35,,0,
"2020-03-24","COL",2,9,,0,
"2020-03-24","DUR",5,6,,1,
"2020-03-24","GRO",6,13,,0,
"2020-03-24","GUA",12,84,,0,
"2020-03-24","HID",7,17,,0,
"2020-03-24","JAL",46,195,,1,
"2020-03-24","MEX",22,154,,0,
"2020-03-24","MIC",8,14,,0,
"2020-03-24","MOR",2,13,,0,
"2020-03-24","NAY",1,3,,0,
"2020-03-24","NLE",52,1,,0,
"2020-03-24","OAX",4,10,,0,
"2020-03-24","PUE",22,38,,0,
"2020-03-24","QUE",16,31,,0,
"2020-03-24","ROO",22,20,,0,
"2020-03-24","SIN",4,23,,0,
"2020-03-24","SLP",16,23,,0,
"2020-03-24","SON",4,16,,0,
"2020-03-24","TAB",6,29,,0,
"2020-03-24","TAM",5,9,,0,
"2020-03-24","TLA",0,13,,0,
"2020-03-24","VER",7,42,,0,
"2020-03-24","YUC",24,16,,0,
"2020-03-24","ZAC",3,9,,0,
