Fecha,Estado,Positivos,Sospechosos,Negativos,Defunciones_Positivos,Defunciones_Sospechosos,Defunciones_Negativos,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-26,AGU,148,99,1016,2,0,1,55,97,178,5,68,27
2020-04-26,BCN,1271,278,1271,160,14,36,224,232,166,23,54,36
2020-04-26,BCS,284,18,784,12,0,8,45,14,118,6,12,11
2020-04-26,CAM,69,41,222,12,0,5,25,41,82,2,27,23
2020-04-26,CHH,258,203,505,57,5,37,98,171,133,15,75,37
2020-04-26,CHP,122,50,424,6,2,8,54,43,125,7,27,31
2020-04-26,CMX,3966,1800,8199,254,11,81,1470,1582,2298,212,857,402
2020-04-26,COA,348,201,2526,34,0,38,70,176,609,14,115,139
2020-04-26,COL,19,10,142,2,0,4,6,8,41,1,5,4
2020-04-26,DUR,44,25,511,6,0,8,17,23,127,5,18,36
2020-04-26,GRO,200,41,493,31,0,25,70,38,130,20,26,17
2020-04-26,GUA,206,475,2764,20,1,49,89,470,1004,7,381,266
2020-04-26,HID,182,71,540,17,4,12,85,61,109,27,39,36
2020-04-26,JAL,282,776,3915,25,2,66,72,762,893,18,533,186
2020-04-26,MEX,2355,1312,4152,166,27,94,908,1127,972,101,649,168
2020-04-26,MIC,204,219,1067,30,2,36,75,204,351,11,138,69
2020-04-26,MOR,190,58,445,28,0,9,100,54,84,18,39,15
2020-04-26,NAY,63,46,305,7,0,8,24,45,85,2,42,15
2020-04-26,NLE,276,452,4126,8,1,9,58,322,749,12,120,124
2020-04-26,OAX,106,51,481,15,1,13,37,49,68,4,34,12
2020-04-26,PUE,511,182,1254,69,1,22,142,127,195,23,82,34
2020-04-26,QUE,111,26,569,9,0,16,30,23,89,6,15,13
2020-04-26,ROO,604,78,632,80,0,28,162,76,69,18,38,5
2020-04-26,SIN,747,247,1086,105,2,32,225,220,149,28,130,16
2020-04-26,SLP,78,43,1257,6,2,29,16,41,299,5,35,100
2020-04-26,SON,167,57,893,20,1,23,38,54,175,5,38,31
2020-04-26,TAB,728,214,947,96,4,12,283,198,292,40,82,90
2020-04-26,TAM,261,158,1418,11,1,27,162,133,804,64,72,303
2020-04-26,TLA,134,77,561,12,0,8,52,73,181,9,50,40
2020-04-26,VER,354,188,1457,27,3,48,133,172,288,21,104,42
2020-04-26,YUC,323,79,909,20,2,20,116,75,255,30,57,48
2020-04-26,ZAC,66,37,475,4,0,12,31,35,142,7,31,45
