Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-07-28,AGU,3883,106,272,-27,7412,117,242,4,3,1,49,0,330,238,428,35,131,42
2020-07-28,BCN,13150,94,1226,129,7419,34,2601,27,65,4,546,5,499,606,353,30,238,40
2020-07-28,BCS,3980,72,573,167,5621,72,155,7,2,0,62,1,717,429,874,126,252,191
2020-07-28,CAM,4267,6,311,72,3271,25,446,15,5,2,95,3,300,187,207,7,47,19
2020-07-28,CHH,5019,160,2213,79,5095,123,871,13,96,4,460,5,146,836,149,18,163,7
2020-07-28,CHP,5692,20,423,-37,2721,22,941,16,56,-3,104,1,130,88,174,9,37,19
2020-07-28,CMX,70612,1314,13874,-890,97919,2425,7109,32,674,-4,1711,21,4663,6995,11048,583,3316,1659
2020-07-28,COA,11842,355,3499,-308,19059,341,590,12,49,0,269,1,1549,1505,1329,171,829,223
2020-07-28,COL,1649,44,298,27,1464,28,180,11,10,0,74,3,382,232,249,41,151,25
2020-07-28,DUR,3840,40,1074,192,7786,48,272,2,2,0,104,1,526,359,892,66,236,169
2020-07-28,GRO,10302,228,1417,-29,6467,124,1380,24,44,-12,336,5,861,846,557,57,269,45
2020-07-28,GUA,19110,647,2387,129,28448,372,924,52,33,3,267,9,2790,1636,3338,277,1002,419
2020-07-28,HID,6467,159,428,-37,4761,89,963,18,14,-3,202,3,800,266,506,77,145,85
2020-07-28,JAL,12471,236,3005,83,23115,250,1454,36,56,-4,648,9,1369,1017,1980,169,519,264
2020-07-28,MEX,50911,798,20074,259,53651,942,7908,99,558,5,1492,27,1962,7373,2976,182,2408,435
2020-07-28,MIC,9195,102,2034,260,15564,143,708,10,24,3,285,4,606,1362,1109,19,612,90
2020-07-28,MOR,3926,51,366,-7,3776,40,825,9,14,-2,119,3,223,132,300,28,82,33
2020-07-28,NAY,3294,75,250,-12,2860,61,355,9,5,0,102,2,487,185,338,48,144,61
2020-07-28,NLE,15653,140,5902,160,26940,76,964,39,24,0,420,7,1550,3102,1020,210,683,190
2020-07-28,OAX,10061,133,839,-34,4369,57,918,31,48,8,145,4,625,352,240,31,189,18
2020-07-28,PUE,19017,186,4505,362,18350,205,2268,46,173,15,417,7,1179,2074,1398,43,837,208
2020-07-28,QUE,3412,42,201,67,3381,14,426,8,4,-1,146,4,349,127,317,51,90,58
2020-07-28,ROO,7271,52,783,197,4473,28,947,16,12,2,247,3,906,445,517,101,299,66
2020-07-28,SIN,12441,103,1445,55,8652,187,2074,30,102,6,427,5,450,625,556,20,255,28
2020-07-28,SLP,8294,370,4392,37,11436,136,419,15,42,-1,175,2,1056,2729,592,22,761,7
2020-07-28,SON,16893,276,2806,-65,9065,151,1796,60,81,8,277,6,486,1038,368,8,423,17
2020-07-28,TAB,20296,315,1782,164,16847,197,1852,21,7,1,186,1,1501,1350,1083,95,508,108
2020-07-28,TAM,14030,318,5965,136,20073,257,914,34,42,-6,359,10,723,2737,910,12,605,18
2020-07-28,TLA,4347,64,1301,273,6891,64,672,28,17,5,167,6,282,706,347,6,245,24
2020-07-28,VER,20009,474,2945,-36,9935,184,2661,101,93,9,502,19,1772,1642,848,79,742,51
2020-07-28,YUC,8941,188,646,83,9219,130,823,13,9,0,248,4,1390,450,1062,235,276,209
2020-07-28,ZAC,2422,40,302,103,3814,28,218,16,0,0,111,4,519,266,467,61,126,44
